State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Alabama ","1,157,360",N/A,N/A,N/A,2022,3,2021,2,
"Alaska ","235,782","65,712","65,710",2,2022,3,2021,2,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","37,756",N/A,N/A,N/A,2022,3,2021,2,
"Arizona ","2,132,306","570,485","176,479","394,006",2022,3,2021,2,
"Arkansas ","934,306","315,159","314,052","1,107",2022,3,2021,2,
"California ","13,400,398","4,241,396","4,212,946","28,450",2022,3,2021,2,
"Colorado ","1,445,278","505,938","496,770","9,168",2022,3,2021,2,
"Connecticut ","1,067,307","343,061","313,790","29,271",2022,3,2021,2,
"Delaware ","244,290","74,745","11,490","63,255",2022,3,2021,2,
"Dist. Of Col. ","263,808","117,684","75,102","42,582",2022,3,2021,2,
"Florida ","4,626,246",N/A,N/A,N/A,2022,3,2021,2,
"Georgia ","2,267,550",N/A,N/A,N/A,2022,3,2021,2,
"Guam ","32,301","4,029",N/A,"4,029",2022,3,2021,2,
"Hawaii ","409,923","152,557","27,143","125,414",2022,3,2021,2,
"Idaho ","405,145","96,643","96,643",0,2022,3,2021,2,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,020,056","844,193","740,422","103,771",2022,3,2021,2,
"Indiana ","1,703,646","471,735","471,735",0,2022,3,2021,2,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","690,726","214,201","182,115","32,086",2022,3,2021,2,
"Kansas ","402,372",N/A,N/A,N/A,2022,3,2021,2,
"Kentucky ","1,548,528","646,895","646,895",0,2022,3,2021,2,
"Louisiana ","1,843,759","619,257","619,257",0,2022,3,2021,2,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","335,960","77,149","60,503","16,646",2022,3,2021,2,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,407,538","376,041","376,041",0,2022,3,2021,2,
"Massachusetts ","1,836,765","399,441",0,"399,441",2022,3,2021,2,
"Michigan ","2,768,020","889,900","834,260","55,640",2022,3,2021,2,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,207,467","241,114","241,114",0,2022,3,2021,2,
"Mississippi ","752,344",N/A,N/A,N/A,2022,3,2021,2,
"Missouri ","1,026,070",N/A,N/A,N/A,2022,3,2021,2,
"Montana ","270,206","103,744","103,744",0,2022,3,2021,2,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","15,873",N/A,N/A,N/A,2022,3,2021,2,
"Nebraska ","311,135","34,223","33,510",713,2022,3,2021,2,
"Nevada ","729,312","286,163","286,163",0,2022,3,2021,2,
"New Hampshire ","213,166","73,342","72,939",403,2022,3,2021,2,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","1,831,804","657,033","657,033",0,2022,3,2021,2,
"New Mexico ","919,509","287,729","287,729",0,2022,3,2021,2,
"New York ","6,883,491","2,297,056","404,514","1,892,542",2022,3,2021,2,
"North Carolina ","2,453,913",N/A,N/A,N/A,2022,3,2021,2,
"North Dakota ","110,090","24,793","23,498","1,295",2022,3,2021,2,
"Ohio ","3,193,658","711,765","711,502",263,2022,3,2021,2,
"Oklahoma ","817,202",N/A,N/A,N/A,2022,3,2021,2,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,143,431","602,057","506,425","95,632",2022,3,2021,2,
"Pennsylvania ","3,212,383","990,652","940,521","50,131",2022,3,2021,2,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,387,700","564,567",N/A,"564,567",2022,3,2021,2,
"Rhode Island ","334,494","84,920","84,920",0,2022,3,2021,2,
"South Carolina ","1,396,336",N/A,N/A,N/A,2022,3,2021,2,
"South Dakota ","117,113",N/A,N/A,N/A,2022,3,2021,2,
"Tennessee ","1,682,264",N/A,N/A,N/A,2022,3,2021,2,
"Texas ","4,966,850",N/A,N/A,N/A,2022,3,2021,2,
"Utah ","406,786","85,769","85,004",765,2022,3,2021,2,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","186,021","68,528",0,"68,528",2022,3,2021,2,
"Virgin Islands ","33,477","16,212",N/A,"16,212",2022,3,2021,2,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,614,839","520,711","520,711",0,2022,3,2021,2,
"Washington ","1,936,203","695,016","679,117","15,899",2022,3,2021,2,
"West Virginia ","584,563","199,052","199,052",0,2022,3,2021,2,
"Wisconsin ","1,376,597",N/A,N/A,N/A,2022,3,2021,2,
"Wyoming ","65,791",N/A,N/A,N/A,2022,3,2021,2,
Totals,"85,397,214","19,570,667","15,558,849","4,011,818",2022,3,2021,2,
"Alabama ","1,165,486",N/A,N/A,N/A,2022,3,2021,3,
"Alaska ","237,225","66,214","66,212",2,2022,3,2021,3,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","37,756",N/A,N/A,N/A,2022,3,2021,3,
"Arizona ","2,147,759","579,535","181,828","397,707",2022,3,2021,3,
"Arkansas ","939,798","318,447","316,949","1,498",2022,3,2021,3,
"California ","13,405,437","4,261,648","4,233,111","28,537",2022,3,2021,3,
"Colorado ","1,459,289","513,494","504,449","9,045",2022,3,2021,3,
"Connecticut ","1,070,405","345,505","316,218","29,287",2022,3,2021,3,
"Delaware ","246,801","76,096","11,766","64,330",2022,3,2021,3,
"Dist. Of Col. ","265,082","118,569","75,933","42,636",2022,3,2021,3,
"Florida ","4,624,835",N/A,N/A,N/A,2022,3,2021,3,
"Georgia ","2,291,457",N/A,N/A,N/A,2022,3,2021,3,
"Guam ","31,710","3,947",N/A,"3,947",2022,3,2021,3,
"Hawaii ","413,993","155,179","27,583","127,596",2022,3,2021,3,
"Idaho ","408,637","98,487","98,487",0,2022,3,2021,3,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,037,644","855,579","751,967","103,612",2022,3,2021,3,
"Indiana ","1,713,811","477,602","477,602",0,2022,3,2021,3,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","697,482","217,298","183,932","33,366",2022,3,2021,3,
"Kansas ","406,371",N/A,N/A,N/A,2022,3,2021,3,
"Kentucky ","1,563,796","655,281","655,281",0,2022,3,2021,3,
"Louisiana ","1,851,817","625,802","625,802",0,2022,3,2021,3,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","340,714","79,721","62,488","17,233",2022,3,2021,3,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,419,380","380,891","380,891",0,2022,3,2021,3,
"Massachusetts ","1,858,959","404,447",0,"404,447",2022,3,2021,3,
"Michigan ","2,787,647","899,683","843,895","55,788",2022,3,2021,3,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,209,970","242,913","242,913",0,2022,3,2021,3,
"Mississippi ","758,730",N/A,N/A,N/A,2022,3,2021,3,
"Missouri ","1,038,936",N/A,N/A,N/A,2022,3,2021,3,
"Montana ","272,223","104,639","104,639",0,2022,3,2021,3,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","16,054",N/A,N/A,N/A,2022,3,2021,3,
"Nebraska ","317,402","37,817","37,053",764,2022,3,2021,3,
"Nevada ","737,232","291,758","291,758",0,2022,3,2021,3,
"New Hampshire ","214,850","74,709","74,303",406,2022,3,2021,3,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","1,843,592","662,877","662,877",0,2022,3,2021,3,
"New Mexico ","922,287","287,706","287,706",0,2022,3,2021,3,
"New York ","6,919,009","2,316,671","408,121","1,908,550",2022,3,2021,3,
"North Carolina ","2,473,267",N/A,N/A,N/A,2022,3,2021,3,
"North Dakota ","112,458","25,841","24,462","1,379",2022,3,2021,3,
"Ohio ","3,215,830","720,460","720,198",262,2022,3,2021,3,
"Oklahoma ","814,348",N/A,N/A,N/A,2022,3,2021,3,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,150,480","608,472","513,183","95,289",2022,3,2021,3,
"Pennsylvania ","3,240,190","1,007,766","956,958","50,808",2022,3,2021,3,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,401,677","572,403",N/A,"572,403",2022,3,2021,3,
"Rhode Island ","326,946","85,538","85,538",0,2022,3,2021,3,
"South Carolina ","1,404,880",N/A,N/A,N/A,2022,3,2021,3,
"South Dakota ","118,345",N/A,N/A,N/A,2022,3,2021,3,
"Tennessee ","1,690,798",N/A,N/A,N/A,2022,3,2021,3,
"Texas ","5,034,334",N/A,N/A,N/A,2022,3,2021,3,
"Utah ","413,805","88,792","88,005",787,2022,3,2021,3,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","187,005","69,227",0,"69,227",2022,3,2021,3,
"Virgin Islands ","33,742","16,392",N/A,"16,392",2022,3,2021,3,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,628,611","529,001","529,001",0,2022,3,2021,3,
"Washington ","1,945,616","703,381","687,629","15,752",2022,3,2021,3,
"West Virginia ","590,520","202,643","202,643",0,2022,3,2021,3,
"Wisconsin ","1,386,962",N/A,N/A,N/A,2022,3,2021,3,
"Wyoming ","66,976",N/A,N/A,N/A,2022,3,2021,3,
Totals,"85,910,366","19,782,431","15,731,381","4,051,050",2022,3,2021,3,
"Alabama ","1,174,028 ",N/A,N/A,N/A,2022,12,2021,4,
"Alaska ","239,859 ","66,549 ","66,549 ","0 ",2022,12,2021,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","37,756 ",N/A,N/A,N/A,2022,12,2021,4,
"Arizona ","2,162,538 ","588,524 ","183,122 ","405,402 ",2022,12,2021,4,
"Arkansas ","946,058 ","320,751 ","317,152 ","3,599 ",2022,12,2021,4,
"California ","13,580,443 ","4,335,822 ","4,307,192 ","28,630 ",2022,12,2021,4,
"Colorado ","1,471,796 ","521,577 ","512,080 ","9,497 ",2022,12,2021,4,
"Connecticut ","1,050,445 ","356,938 ","327,542 ","29,396 ",2022,12,2021,4,
"Delaware ","249,163 ","76,877 ","11,930 ","64,947 ",2022,12,2021,4,
"Dist. Of Col. ","266,334 ","119,460 ","76,628 ","42,832 ",2022,12,2021,4,
"Florida ","4,744,818 ",N/A,N/A,N/A,2022,12,2021,4,
"Georgia ","2,287,973 ",N/A,N/A,N/A,2022,12,2021,4,
"Guam ","34,044 ","4,045 ",N/A,"4,045 ",2022,12,2021,4,
"Hawaii ","417,794 ","157,550 ","27,963 ","129,587 ",2022,12,2021,4,
"Idaho ","416,972 ","101,847 ","101,847 ","0 ",2022,12,2021,4,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,059,760 ","863,855 ","760,520 ","103,335 ",2022,12,2021,4,
"Indiana ","1,753,814 ","486,677 ","486,677 ","0 ",2022,12,2021,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","702,374 ","219,821 ","185,384 ","34,437 ",2022,12,2021,4,
"Kansas ","408,420 ",N/A,N/A,N/A,2022,12,2021,4,
"Kentucky ","1,559,136 ","646,509 ","646,509 ","0 ",2022,12,2021,4,
"Louisiana ","1,868,422 ","632,480 ","632,480 ","0 ",2022,12,2021,4," Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","344,232 ","82,113 ","64,290 ","17,823 ",2022,12,2021,4,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,429,808 ","385,994 ","385,994 ","0 ",2022,12,2021,4,
"Massachusetts ","1,869,843 ","408,326 ","0 ","408,326 ",2022,12,2021,4,
"Michigan ","2,804,067 ","908,589 ","850,139 ","58,450 ",2022,12,2021,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,229,560 ","248,797 ","248,797 ","0 ",2022,12,2021,4,
"Mississippi ","763,570 ",N/A,N/A,N/A,2022,12,2021,4,
"Missouri ","1,050,779 ","0 ","0 ","0 ",2022,12,2021,4,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ","274,072 ","105,451 ","105,451 ","0 ",2022,12,2021,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","16,580 ",N/A,N/A,N/A,2022,12,2021,4,
"Nebraska ","322,682 ","41,152 ","40,354 ","798 ",2022,12,2021,4,
"Nevada ","741,882 ","297,691 ","297,691 ","0 ",2022,12,2021,4,
"New Hampshire ","216,637 ","76,190 ","75,776 ","414 ",2022,12,2021,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","1,859,803 ","669,991 ","669,991 ","0 ",2022,12,2021,4,
"New Mexico ","927,086 ","288,684 ","288,684 ","0 ",2022,12,2021,4,
"New York ","6,992,993 ","2,340,975 ","412,711 ","1,928,264 ",2022,12,2021,4,
"North Carolina ","2,492,274 ",N/A,N/A,N/A,2022,12,2021,4,
"North Dakota ","114,730 ","27,098 ","25,606 ","1,492 ",2022,12,2021,4,
"Ohio ","3,228,947 ","723,737 ","723,479 ","258 ",2022,12,2021,4,
"Oklahoma ","824,326 ","0 ","0 ","0 ",2022,12,2021,4,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,158,480 ","617,092 ","525,788 ","91,304 ",2022,12,2021,4,
"Pennsylvania ","3,259,090 ","1,018,582 ","967,064 ","51,518 ",2022,12,2021,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,409,163 ","576,989 ",N/A,"576,989 ",2022,12,2021,4,
"Rhode Island ","329,020 ","86,654 ","86,654 ","0 ",2022,12,2021,4,
"South Carolina ","1,416,986 ",N/A,N/A,N/A,2022,12,2021,4,
"South Dakota ","119,230 ",N/A,N/A,N/A,2022,12,2021,4,
"Tennessee ","1,699,765 ",N/A,N/A,N/A,2022,12,2021,4,
"Texas ","5,087,462 ",N/A,N/A,N/A,2022,12,2021,4,
"Utah ","420,076 ","91,619 ","90,797 ","822 ",2022,12,2021,4,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","188,114 ","69,918 ","0 ","69,918 ",2022,12,2021,4,
"Virgin Islands ","34,563 ","17,180 ",N/A,"17,180 ",2022,12,2021,4,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,645,251 ","538,660 ","538,660 ","0 ",2022,12,2021,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ","1,965,875 ","712,913 ","696,977 ","15,936 ",2022,12,2021,4,
"West Virginia ","594,503 ","205,154 ","205,154 ","0 ",2022,12,2021,4,
"Wisconsin ","1,396,403 ",N/A,N/A,N/A,2022,12,2021,4,
"Wyoming ","71,129 ",N/A,N/A,N/A,2022,12,2021,4,
Totals,"86,730,928 ","20,038,831 ","15,943,632 ","4,095,199 ",2022,12,2021,4,
"Alabama ","1,180,988 ",N/A,N/A,N/A,2022,12,2021,5,
"Alaska ","240,570 ","66,959 ","66,959 ","0 ",2022,12,2021,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","37,756 ",N/A,N/A,N/A,2022,12,2021,5,
"Arizona ","2,177,911 ","597,205 ","184,969 ","412,236 ",2022,12,2021,5,
"Arkansas ","951,191 ","322,419 ","316,478 ","5,941 ",2022,12,2021,5,
"California ","13,617,430 ","4,366,240 ","4,337,515 ","28,725 ",2022,12,2021,5,
"Colorado ","1,483,771 ","528,438 ","518,911 ","9,527 ",2022,12,2021,5,
"Connecticut ","1,092,324 ","360,695 ","331,357 ","29,338 ",2022,12,2021,5,
"Delaware ","250,956 ","77,578 ","12,086 ","65,492 ",2022,12,2021,5,
"Dist. Of Col. ","267,217 ","120,170 ","77,265 ","42,905 ",2022,12,2021,5,
"Florida ","4,777,320 ",N/A,N/A,N/A,2022,12,2021,5,
"Georgia ","2,302,122 ",N/A,N/A,N/A,2022,12,2021,5,
"Guam ","33,554 ","3,859 ",N/A,"3,859 ",2022,12,2021,5,
"Hawaii ","420,676 ","159,207 ","28,234 ","130,973 ",2022,12,2021,5,
"Idaho ","417,793 ","102,536 ","102,536 ","0 ",2022,12,2021,5,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,065,386 ","866,352 ","763,681 ","102,671 ",2022,12,2021,5,
"Indiana ","1,763,451 ","492,897 ","492,897 ","0 ",2022,12,2021,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","709,236 ","223,997 ","186,965 ","37,032 ",2022,12,2021,5,
"Kansas ","411,069 ",N/A,N/A,N/A,2022,12,2021,5,
"Kentucky ","1,566,879 ","652,367 ","652,367 ","0 ",2022,12,2021,5,
"Louisiana ","1,875,611 ","640,808 ","640,808 ","0 ",2022,12,2021,5," Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","346,447 ","83,442 ","65,356 ","18,086 ",2022,12,2021,5,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,436,838 ","390,532 ","390,532 ","0 ",2022,12,2021,5,
"Massachusetts ","1,889,609 ","415,441 ","0 ","415,441 ",2022,12,2021,5,
"Michigan ","2,815,099 ","916,381 ","857,507 ","58,874 ",2022,12,2021,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,233,429 ","250,783 ","250,783 ","0 ",2022,12,2021,5,
"Mississippi ","768,359 ",N/A,N/A,N/A,2022,12,2021,5,
"Missouri ","1,059,899 ","0 ","0 ","0 ",2022,12,2021,5,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ","275,977 ","106,259 ","106,259 ","0 ",2022,12,2021,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","16,558 ",N/A,N/A,N/A,2022,12,2021,5,
"Nebraska ","326,562 ","43,770 ","42,888 ","882 ",2022,12,2021,5,
"Nevada ","747,802 ","301,529 ","301,529 ","0 ",2022,12,2021,5,
"New Hampshire ","217,349 ","77,299 ","76,883 ","416 ",2022,12,2021,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","1,872,263 ","676,200 ","676,200 ","0 ",2022,12,2021,5,
"New Mexico ","930,371 ","288,853 ","288,853 ","0 ",2022,12,2021,5,
"New York ","7,017,065 ","2,349,621 ","414,778 ","1,934,843 ",2022,12,2021,5,
"North Carolina ","2,511,272 ",N/A,N/A,N/A,2022,12,2021,5,
"North Dakota ","113,414 ","27,306 ","25,816 ","1,490 ",2022,12,2021,5,
"Ohio ","3,246,100 ","730,357 ","730,095 ","262 ",2022,12,2021,5,
"Oklahoma ","834,476 ","0 ","0 ","0 ",2022,12,2021,5,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,163,736 ","622,787 ","531,824 ","90,963 ",2022,12,2021,5,
"Pennsylvania ","3,271,725 ","1,023,422 ","971,328 ","52,094 ",2022,12,2021,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,416,545 ","581,093 ",N/A,"581,093 ",2022,12,2021,5,
"Rhode Island ","329,712 ","87,235 ","87,235 ","0 ",2022,12,2021,5,
"South Carolina ","1,424,580 ",N/A,N/A,N/A,2022,12,2021,5,
"South Dakota ","119,932 ",N/A,N/A,N/A,2022,12,2021,5,
"Tennessee ","1,708,077 ",N/A,N/A,N/A,2022,12,2021,5,
"Texas ","5,135,999 ",N/A,N/A,N/A,2022,12,2021,5,
"Utah ","425,758 ","94,186 ","93,368 ","818 ",2022,12,2021,5,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","189,191 ","69,995 ","0 ","69,995 ",2022,12,2021,5,
"Virgin Islands ","34,000 ","16,582 ",N/A,"16,582 ",2022,12,2021,5,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,659,925 ","547,638 ","547,638 ","0 ",2022,12,2021,5,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ","1,976,037 ","720,403 ","704,590 ","15,813 ",2022,12,2021,5,
"West Virginia ","597,650 ","207,298 ","207,298 ","0 ",2022,12,2021,5,
"Wisconsin ","1,405,846 ",N/A,N/A,N/A,2022,12,2021,5,
"Wyoming ","71,885 ",N/A,N/A,N/A,2022,12,2021,5,
Totals,"87,232,698 ","20,210,139 ","16,083,788 ","4,126,351 ",2022,12,2021,5,
"Alabama ","1,190,064 ",N/A,N/A,N/A,2022,12,2021,6,
"Alaska ","241,700 ","67,277 ","67,277 ","0 ",2022,12,2021,6,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","37,756 ",N/A,N/A,N/A,2022,12,2021,6,
"Arizona ","2,193,981 ","603,409 ","185,582 ","417,827 ",2022,12,2021,6,
"Arkansas ","954,873 ","323,041 ","316,913 ","6,128 ",2022,12,2021,6,
"California ","13,603,756 ","4,379,111 ","4,350,383 ","28,728 ",2022,12,2021,6,
"Colorado ","1,494,930 ","539,132 ","529,672 ","9,460 ",2022,12,2021,6,
"Connecticut ","1,096,741 ","363,782 ","334,552 ","29,230 ",2022,12,2021,6,
"Delaware ","252,888 ","78,441 ","12,251 ","66,190 ",2022,12,2021,6,
"Dist. Of Col. ","268,431 ","121,001 ","77,998 ","43,003 ",2022,12,2021,6,
"Florida ","4,771,515 ",N/A,N/A,N/A,2022,12,2021,6,
"Georgia ","2,317,901 ",N/A,N/A,N/A,2022,12,2021,6,
"Guam ","33,537 ","3,872 ",N/A,"3,872 ",2022,12,2021,6,
"Hawaii ","423,045 ","160,648 ","28,457 ","132,191 ",2022,12,2021,6,
"Idaho ","415,064 ","101,712 ","101,712 ","0 ",2022,12,2021,6,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,084,602 ","872,766 ","770,359 ","102,407 ",2022,12,2021,6,
