state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
Delaware,211120,62628,10459,52169,2019,12,2017,12,
Nevada,589663,211060,211060,0,2018,8,2017,7,
"West Virginia",552013,173290,173290,0,2018,8,2017,8,
Colorado,1361174,453352,451018,2334,2018,8,2017,9,
Washington,1844804,615318,601289,14029,2018,8,2017,4,
Massachusetts,1813220,378023,0,378023,2018,8,2017,1,
Kansas,381354,,,,2018,8,2017,3,
Maryland,1216695,306660,306660,0,2018,8,2017,9,
California,11371571,3804208,3804208,0,2018,8,2017,7,
Pennsylvania,2845658,791979,748891,43088,2018,8,2017,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"New York",6092512,1961526,282749,1678777,2018,8,2017,2,
Montana,242921,85212,85212,0,2018,8,2017,9,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Georgia,1868445,,,,2018,8,2017,7,
Texas,4338627,,,,2019,12,2017,11,
"North Carolina",2132020,,,,2019,12,2017,10,
"New York",6123586,3506563,517082,2889481,2018,8,2017,5,
Nebraska,243059,,,,2019,12,2017,12,
Totals,76703905,15690724,12296275,3394449,2019,12,2017,12,
Idaho,319976,,,,2018,8,2017,6,
"Puerto Rico",1269505,375916,,375916,2018,8,2017,4,
"North Carolina",2142244,,,,2019,12,2017,12,
Oregon,956498,453821,378452,75369,2018,8,2017,9,
Delaware,209855,61481,10438,51043,2018,8,2017,7,
Maryland,1210887,302777,302777,0,2018,8,2017,4,
Alabama,1016227,,,,2018,8,2017,5,
Arizona,1928983,429852,112822,317030,2019,12,2017,12,
"West Virginia",557146,177352,177352,0,2018,8,2017,3,
Washington,1793108,574406,561502,12904,2019,12,2017,10,
Kentucky,1345038,478066,478066,0,2018,8,2017,8,
"New Mexico",881085,257598,257598,0,2018,8,2017,8,
Illinois,2905239,700300,662105,38195,2018,8,2017,2,
"New Jersey",1690483,558743,558743,0,2019,12,2017,10,
Virginia,1025032,,,,2018,8,2017,6,
Maine,256843,0,0,0,2019,12,2017,12,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Virginia,1028055,,,,2018,8,2017,7,
Louisiana,1636833,466633,466633,0,2019,12,2017,12,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Alabama,1017469,,,,2019,12,2017,12,
"North Carolina",2093828,,,,2018,8,2017,3,
Massachusetts,1797341,376511,0,376511,2018,8,2017,7,
"New Mexico",905351,265852,265852,0,2018,8,2017,1,
Delaware,209273,61353,10370,50983,2018,8,2017,9,
Guam,35751,3729,,3729,2018,8,2017,6,
"Amer. Samoa",27898,,,,2019,12,2017,11,
Texas,4331903,,,,2018,8,2017,9,
California,11845338,3778179,3778179,0,2018,8,2017,2,
Mississippi,712507,,,,2018,8,2017,5,
Alaska,184965,36978,36870,108,2018,8,2017,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Tennessee,1584490,,,,2018,8,2017,9,
"New York",6108223,3470259,522367,2947892,2018,8,2017,8,
Wyoming,62255,,,,2018,8,2017,3,
Iowa,595750,151354,139891,11463,2018,8,2017,4,
Wyoming,62324,,,,2018,8,2017,4,
Maine,256109,0,0,0,2019,12,2017,11,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"New Mexico",905184,266864,266864,0,2018,8,2017,5,
"New Hampshire",204315,56885,56662,223,2018,8,2017,2,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
"Virgin Islands",23649,4002,,4002,2018,8,2017,1,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
"North Carolina",2076727,,,,2018,8,2017,8,
Minnesota,1170762,202227,201461,766,2018,8,2017,4,
Florida,4003838,,,,2019,12,2017,11,
Colorado,1360760,448653,446287,2366,2018,8,2017,7,
Kentucky,1334816,472782,472782,0,2018,8,2017,4,
Arkansas,959368,312412,304994,7418,2018,8,2017,2,
"Virgin Islands",23580,4043,,4043,2018,8,2017,5,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Texas,4315777,,,,2018,8,2017,4,
Iowa,588825,149387,137631,11756,2018,8,2017,9,
Alabama,1019025,,,,2019,12,2017,10,
"New Mexico",896397,263767,263767,0,2018,8,2017,6,
"District of Columbia",251456,107281,67784,39497,2018,8,2017,1,
Arkansas,937439,308690,308376,314,2018,8,2017,9,
"Puerto Rico",1250355,386325,,386325,2018,8,2017,1,
Montana,238672,81593,81593,0,2018,8,2017,6,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"North Carolina",2082333,,,,2018,8,2017,7,
Missouri,969706,,,,2019,12,2017,11,
Louisiana,1627613,435946,435946,0,2018,8,2017,5,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Nevada,606557,211414,211414,0,2018,8,2017,3,
Idaho,319955,,,,2018,8,2017,8,
California,11221350,3775403,3775403,0,2018,8,2017,9,
"District Of Columbia",260614,109149,68120,41029,2018,8,2017,9,
"Virgin Islands",17270,3857,,3857,2018,8,2017,7,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Ohio,3080775,692131,652666,39465,2018,8,2017,6,
Mississippi,713498,,,,2018,8,2017,2,
Kentucky,1344312,476994,476994,0,2018,8,2017,7,
Alabama,1018716,,,,2018,8,2017,2,
"New Hampshire",192157,57390,57249,141,2019,12,2017,12,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Vermont,178237,58434,0,58434,2019,12,2017,10,
"New Jersey",1717116,579452,579452,0,2018,8,2017,3,
Wyoming,60749,,,,2018,8,2017,8,
Hawaii,327747,117152,21978,95174,2019,12,2017,10,
Massachusetts,1645415,336724,0,336724,2019,12,2017,11,
"American Samoa",41214,,,,2018,8,2017,6,
Idaho,317418,,,,2018,8,2017,3,
Michigan,2396639,675541,625640,49901,2018,8,2017,2,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Guam,35989,3588,,3588,2018,8,2017,1,
Virginia,1024816,,,,2018,8,2017,4,
Iowa,596705,152258,140652,11606,2018,8,2017,5,
Oklahoma,675173,,,,2018,8,2017,5,
Pennsylvania,2726037,789300,748610,40690,2019,12,2017,11,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Alabama,1021443,,,,2018,8,2017,1,
"North Dakota *",92363,20443,19375,1068,2018,8,2017,8,"Awaiting state reporting/enrollment reasonableness review in progress"
Iowa,586260,149850,137786,12064,2019,12,2017,11,
"North Dakota",94161,21129,20054,1075,2019,12,2017,11,
Wyoming,61529,,,,2018,8,2017,6,
Delaware,207235,62535,11518,51017,2018,8,2017,1,
Utah,299107,,,,2018,8,2017,7,
Georgia,1949271,,,,2019,12,2017,12,
Arizona,1937561,430812,113290,317522,2019,12,2017,10,
Utah,298583,,,,2019,12,2017,12,
Indiana,1355541,443282,311992,131290,2018,8,2017,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Georgia,1853535,,,,2018,8,2017,7,
Massachusetts,1772768,355816,0,355816,2019,12,2017,10,
Connecticut,891845,231160,198411,32749,2018,8,2017,7,
"North Dakota",92348,20305,19250,1055,2019,12,2017,10,
Ohio,3082563,709617,653225,56392,2018,8,2017,4,
"West Virginia",549511,171817,171817,0,2018,8,2017,9,
Georgia,1935794,,,,2019,12,2017,10,
Wisconsin,1190224,,,,2018,8,2017,5,
Washington,1844437,617785,603609,14176,2018,8,2017,2,
"South Carolina",1257936,,,,2018,8,2017,2,
Kentucky,1346450,481755,481755,0,2019,12,2017,10,
Tennessee,1679886,,,,2018,8,2017,2,
Maryland,1202271,299645,299645,0,2018,8,2017,2,
Delaware,208758,61231,10464,50767,2018,8,2017,7,
"Rhode Island",307315,67717,67717,0,2018,8,2017,9,
Guam,36167,3801,,3801,2018,8,2017,7,
"New Hampshire",191668,55437,55339,98,2018,8,2017,7,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Guam,35948,3805,,3805,2018,8,2017,8,
Oregon,967628,460722,384566,76156,2019,12,2017,11,
Colorado,1318334,424402,422087,2315,2019,12,2017,12,
Washington,1819627,596727,583163,13564,2018,8,2017,7,
Mississippi,709894,,,,2018,8,2017,8,
Tennessee,1606588,,,,2019,12,2017,10,
"New Jersey",1699138,567378,567378,0,2019,12,2017,11,
Louisiana,1624541,438048,438048,0,2018,8,2017,6,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"American Samoa",41214,,,,2018,8,2017,1,
Florida,4041852,,,,2018,8,2017,3,
Illinois,2865038,698546,629105,69441,2019,12,2017,10,
"South Carolina",1259031,,,,2018,8,2017,3,
Vermont,186290,60561,0,60561,2018,8,2017,3,
Maryland,1216630,305354,305354,0,2018,8,2017,5,
Iowa,599417,152875,141204,11671,2018,8,2017,3,
"New Jersey",1701389,571733,571733,0,2018,8,2017,6,
Colorado,1353769,449541,447298,2243,2018,8,2017,3,
"South Dakota",105967,,,,2018,8,2017,9,
"New Hampshire",191125,55161,55069,92,2018,8,2017,6,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Colorado,1369103,446189,443824,2365,2018,8,2017,5,
Oklahoma,673578,,,,2018,8,2017,8,
Delaware,206768,61191,10789,50402,2018,8,2017,4,
Louisiana,1659098,411341,411341,0,2018,8,2017,2,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Nebraska,242469,,,,2019,12,2017,11,
Arizona,1939437,429692,112045,317647,2018,8,2017,4,
Michigan,2108413,683111,630595,52516,2018,8,2017,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Idaho,320119,,,,2018,8,2017,9,
"Puerto Rico",1252937,380739,,380739,2018,8,2017,2,
Minnesota,1147464,197001,196138,863,2018,8,2017,2,
"New York",6099728,3454112,523477,2930635,2018,8,2017,9,
"South Carolina",1255998,,,,2018,8,2017,1,
Kentucky,1341670,476020,476020,0,2018,8,2017,6,
Virginia,1047970,,,,2019,12,2017,12,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"South Dakota",106612,,,,2018,8,2017,6,
"New Hampshire",190262,54913,54804,109,2019,12,2017,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Hawaii,331387,120518,22904,97614,2019,12,2017,12,
Idaho,319708,,,,2019,12,2017,12,
"New Mexico",852270,252897,252897,0,2019,12,2017,12,
Guam,35559,3752,,3752,2018,8,2017,9,
Oklahoma,664493,,,,2019,12,2017,11,
Mississippi,706690,,,,2018,8,2017,9,
Totals,76659036,15600231,12265641,3334590,2019,12,2017,11,
Georgia,1835685,,,,2018,8,2017,4,
"New Hampshire",190249,54862,54755,107,2018,8,2017,8,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
"District of Columbia",257352,108325,67577,40748,2018,8,2017,5,
Minnesota,1098568,209780,208939,841,2019,12,2017,10,
Arizona,1932468,430199,112355,317844,2018,8,2017,7,
Nebraska,250848,,,,2018,8,2017,5,
"South Dakota",106439,,,,2018,8,2017,8,
Mississippi,713065,,,,2018,8,2017,1,
Indiana,1348135,436545,287589,148956,2018,8,2017,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Georgia,1838663,,,,2018,8,2017,3,
"New Jersey",1712197,578014,578014,0,2018,8,2017,4,
"West Virginia",545712,170044,170044,0,2019,12,2017,11,
Utah,307149,,,,2018,8,2017,3,
"Rhode Island",313477,71998,71998,0,2018,8,2017,6,
"New Mexico",906788,267136,267136,0,2018,8,2017,2,
Connecticut,886380,230514,195934,34580,2018,8,2017,9,
Minnesota,1147722,197638,196812,826,2018,8,2017,1,
"Rhode Island",307831,68526,68526,0,2019,12,2017,11,
Indiana,1355100,447771,322240,125531,2018,8,2017,8,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Ohio,3037645,644234,643879,355,2019,12,2017,11,
Arizona,1936322,428063,111866,316197,2018,8,2017,5,
Nevada,608562,211053,211053,0,2018,8,2017,5,
Maine,259091,,,,2018,8,2017,9,
"New Jersey",1683623,562011,562011,0,2018,8,2017,7,
Massachusetts,1824673,387666,0,387666,2018,8,2017,2,
Minnesota,1063182,201718,200828,890,2018,8,2017,9,
Pennsylvania,2704974,783394,742901,40493,2018,8,2017,9,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Amer. Samoa",27898,,,,2019,12,2017,12,
"Rhode Island",309786,70699,70699,0,2018,8,2017,5,
Tennessee,1579967,,,,2018,8,2017,8,
Oregon,970599,461281,384388,76893,2019,12,2017,10,
Nevada,604153,210670,210670,0,2018,8,2017,2,
"New Mexico",894255,262052,262052,0,2018,8,2017,7,
Wisconsin,1188340,,,,2018,8,2017,4,
Tennessee,1555500,,,,2018,8,2017,6,
Maryland,1217479,306831,306831,0,2019,12,2017,10,
Nebraska,259749,,,,2018,8,2017,8,
Wyoming,60658,,,,2018,8,2017,9,
Massachusetts,1741248,343680,0,343680,2018,8,2017,9,
Alaska,193073,40341,40315,26,2019,12,2017,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Michigan,2385285,671352,621809,49543,2018,8,2017,1,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"N. Mariana Islands",15472,,,,2018,8,2017,8,
Arkansas,926611,299303,298957,346,2019,12,2017,12,
Pennsylvania,2847770,797020,754654,42366,2018,8,2017,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"District of Columbia",253044,107668,67795,39873,2018,8,2017,2,
Oregon,1009254,487191,406930,80261,2018,8,2017,6,
Connecticut,910314,234323,215370,18953,2019,12,2017,11,
Illinois,2898090,697824,658962,38862,2018,8,2017,3,
Indiana,1331673,442909,322891,120018,2019,12,2017,12,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
"North Dakota",92319,20347,19287,1060,2018,8,2017,9,"Awaiting state reporting/enrollment reasonableness review in progress"
Oregon,987156,467369,388213,79156,2018,8,2017,3,
Georgia,1834932,,,,2018,8,2017,1,
Kansas,385447,,,,2018,8,2017,1,
Iowa,592855,150790,139244,11546,2018,8,2017,6,
Alabama,1021681,,,,2018,8,2017,7,
"North Dakota",92010,20334,19289,1045,2018,8,2017,7,"Awaiting state reporting/enrollment reasonableness review in progress"
"New York",6112011,3506062,523962,2982100,2018,8,2017,7,
Connecticut,904274,230296,212987,17309,2018,8,2017,1,
Nebraska,242568,,,,2018,8,2017,4,
Virginia,1045734,,,,2019,12,2017,11,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Arizona,1940684,427753,111198,316555,2018,8,2017,3,
Vermont,177716,58254,0,58254,2019,12,2017,11,
California,13115972,3808406,3808406,0,2019,12,2017,11,
Pennsylvania,2848611,790703,749178,41525,2018,8,2017,6,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Oregon,1001557,482572,402847,79725,2018,8,2017,7,
Illinois,2805169,659901,618912,40989,2018,8,2017,9,
"South Dakota",107902,,,,2018,8,2017,2,
California,11791879,3809782,3809782,0,2018,8,2017,4,
Oregon,988654,467690,388007,79683,2018,8,2017,2,
Arkansas,939770,312616,312282,334,2018,8,2017,7,
Connecticut,916906,241074,221498,19576,2019,12,2017,12,
Tennessee,1644449,,,,2018,8,2017,3,
Georgia,1840262,,,,2018,8,2017,5,
California,11357535,3809873,3809873,0,2018,8,2017,7,
California,13184199,3820310,3820310,0,2019,12,2017,10,
Utah,304989,,,,2018,8,2017,4,
Minnesota,1160499,201685,200811,874,2018,8,2017,5,
"American Samoa",41214,,,,2018,8,2017,2,
Wisconsin,1188415,,,,2019,12,2017,10,
Wisconsin,1184824,,,,2019,12,2017,12,
Maine,258284,0,0,0,2019,12,2017,10,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Delaware,210771,61915,10336,51579,2019,12,2017,10,
Georgia,1873182,,,,2018,8,2017,9,
Massachusetts,1811368,383587,0,383587,2018,8,2017,6,
Illinois,2890539,691883,651309,40574,2018,8,2017,4,
Oklahoma,682757,,,,2018,8,2017,4,
Kentucky,1347792,479567,479567,0,2018,8,2017,9,
Minnesota,1092404,209322,208507,815,2019,12,2017,11,
"South Dakota",107827,,,,2018,8,2017,3,
Montana,243494,84765,84765,0,2018,8,2017,8,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"American Samoa",41214,,,,2018,8,2017,7,
"Rhode Island",309723,69888,69888,0,2019,12,2017,12,
"North Carolina",2050230,,,,2018,8,2017,9,
Montana,238789,84228,84228,0,2019,12,2017,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Alabama,1019631,,,,2018,8,2017,7,
"North Dakota",92823,20650,19602,1048,2019,12,2017,12,
Texas,4332199,,,,2019,12,2017,12,
Oklahoma,681377,,,,2018,8,2017,2,
Missouri,988334,,,,2018,8,2017,3,
Guam,35621,3567,,3567,2018,8,2017,3,
"North Dakota *",91919,20351,19350,1001,2018,8,2017,4,"Awaiting state reporting/enrollment reasonableness review in progress"
Florida,4052383,,,,2018,8,2017,5,
Vermont,184426,60529,0,60529,2018,8,2017,5,
Indiana,1346323,443723,315380,128343,2018,8,2017,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Florida,4013266,,,,2018,8,2017,7,
Iowa,602058,154021,142157,11864,2018,8,2017,2,
Texas,4357147,,,,2018,8,2017,1,
"Dist. Of Col.",263531,112887,71228,41659,2019,12,2017,12,
Virginia,1016793,,,,2018,8,2017,3,
Vermont,179602,58702,0,58702,2018,8,2017,8,
Florida,4032834,,,,2019,12,2017,10,
"District Of Columbia",261140,109687,68594,41093,2018,8,2017,7,
Texas,4314833,,,,2018,8,2017,8,
"West Virginia",547243,170635,170635,0,2019,12,2017,10,
Colorado,1340089,448805,446508,2297,2018,8,2017,2,
Oklahoma,669148,,,,2018,8,2017,6,
"American Samoa",41214,,,,2018,8,2017,5,
Wisconsin,1184288,,,,2018,8,2017,9,
California,11568990,3769184,3769184,0,2018,8,2017,6,
Wyoming,62242,,,,2018,8,2017,1,
Georgia,1853348,,,,2018,8,2017,6,
Pennsylvania,2852210,796335,754249,42086,2018,8,2017,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Virgin Islands",17552,3996,,3996,2018,8,2017,9,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
Iowa,591146,153939,141349,12590,2019,12,2017,12,
Kansas,363083,,,,2019,12,2017,12,
"New Mexico",854443,249748,249748,0,2018,8,2017,9,
"South Carolina",1230287,,,,2018,8,2017,8,
Virginia,1017358,,,,2018,8,2017,2,
Tennessee,1619393,,,,2019,12,2017,11,
Idaho,319681,,,,2018,8,2017,4,
"Rhode Island",302796,68074,68074,0,2018,8,2017,1,
"New York",6070580,1948399,282325,1666074,2018,8,2017,3,
Texas,4305931,,,,2018,8,2017,6,
"South Dakota",105503,,,,2019,12,2017,11,
Florida,4056210,,,,2018,8,2017,7,
Maine,258075,,,,2018,8,2017,8,
"N. Mariana Islands",1151,,,,2019,12,2017,11,
Maine,258634,,,,2018,8,2017,7,
Arkansas,967155,326948,318303,8645,2018,8,2017,1,
Alaska,184242,35931,35807,124,2018,8,2017,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"South Dakota",106660,,,,2018,8,2017,5,
Vermont,185011,60599,0,60599,2018,8,2017,4,
Illinois,2876233,685870,645067,40803,2018,8,2017,5,
Alaska,194359,41593,41565,28,2019,12,2017,12,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Florida,4068266,,,,2018,8,2017,2,
Minnesota,1141971,198705,197879,826,2018,8,2017,6,
California,11683751,3737657,3737657,0,2018,8,2017,3,
Idaho,323620,,,,2018,8,2017,1,
Louisiana,1658137,417416,417416,0,2018,8,2017,3,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Texas,4333650,,,,2018,8,2017,3,
Indiana,1351587,447686,326721,120965,2019,12,2017,11,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Virginia,1040349,,,,2019,12,2017,10,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Guam,35744,3786,,3786,2019,12,2017,11,
Guam,36061,3697,,3697,2018,8,2017,5,
Texas,4343082,,,,2018,8,2017,2,
Mississippi,711923,,,,2018,8,2017,6,
Hawaii,329486,118676,22491,96185,2019,12,2017,11,
Guam,35805,3601,,3601,2018,8,2017,2,
Massachusetts,1811660,383679,0,383679,2018,8,2017,4,
Maine,259772,,,,2018,8,2017,4,
Colorado,1366880,453135,450774,2361,2018,8,2017,7,
Montana,242116,83284,83284,0,2018,8,2017,7,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"Virgin Islands",22636,8832,,8832,2019,12,2017,10,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Louisiana,1624724,445598,445598,0,2018,8,2017,9,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Kansas,377152,,,,2018,8,2017,5,
Wyoming,60045,,,,2019,12,2017,11,
Hawaii,331806,118455,22497,95958,2018,8,2017,4,
Wisconsin,1185378,,,,2019,12,2017,11,
Kentucky,1338120,474562,474562,0,2018,8,2017,5,
"N. Mariana Islands",1128,,,,2019,12,2017,10,
"Virgin Islands",17594,3983,,3983,2018,8,2017,8,"Virgin Islands expanded its Mediciad program by adopting the VIII Group on June 1, 2015."
"Puerto Rico",1253375,372615,,372615,2018,8,2017,6,
Oregon,958403,455939,381084,74855,2019,12,2017,12,
"New Mexico",858847,252302,252302,0,2019,12,2017,10,
"New York",6121900,1976856,283681,1693175,2018,8,2017,1,
Pennsylvania,2847214,786549,745383,41166,2018,8,2017,7,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Minnesota,1089231,206738,205910,828,2018,8,2017,7,
"North Dakota *",92595,20515,19468,1047,2018,8,2017,6,"Awaiting state reporting/enrollment reasonableness review in progress"
Nebraska,229476,,,,2018,8,2017,6,
Connecticut,892461,229718,199168,30550,2018,8,2017,7,
Ohio,3087798,714230,654717,59513,2018,8,2017,3,
Maine,260361,,,,2018,8,2017,3,
Nebraska,239851,,,,2018,8,2017,1,
Washington,1794778,578291,565071,13220,2018,8,2017,9,
Hawaii,328358,117409,22097,95312,2018,8,2017,8,
