state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"Rhode Island",265601,49537,49537,0,2016,12,2014,10,
Nebraska,236510,,,,2016,12,2014,4,
Florida,3761941,,,,2016,12,2014,2,
Tennessee,1494495,,,,2016,12,2014,11,
Idaho,281518,,,,2016,12,2014,7,
Illinois,2998950,595710,582720,12990,2016,12,2014,12,
"West Virginia",517992,155636,155636,0,2016,12,2014,10,
Maine,281844,,,,2016,12,2014,12,
Louisiana,1327754,,,,2016,12,2014,9,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Oregon,966213,423448,340198,83250,2016,12,2014,4,
Kentucky,950515,161540,161540,0,2016,12,2014,1,
Washington,1545269,371397,353600,17797,2016,12,2014,3,
Missouri,824076,,,,2016,12,2014,10,
Washington,1419916,247048,229626,17422,2016,12,2014,1,
Guam,36997,3096,,3096,2016,12,2014,7,
Texas,4263140,,,,2016,12,2014,9,
Arkansas,858417,261289,221422,39867,2016,12,2014,11,
Iowa,523281,83880,81121,2759,2016,12,2014,3,
Massachusetts,1712146,289543,0,289543,2016,12,2014,2,
Michigan,1832594,,,,2016,12,2014,3,
Arkansas,832729,242229,197444,44785,2016,12,2014,7,
Virginia,900240,,,,2016,12,2014,5,
Tennessee,1350347,,,,2016,12,2014,2,
"North Dakota",80996,10346,10135,211,2016,12,2014,5,
Pennsylvania,2063775,,,,2016,12,2014,1,
Ohio,2703988,330271,307475,22796,2016,12,2014,5,
Totals,74428265,10766702,8067744,2698958,2016,12,2014,12,
California,14163162,2114604,2114604,0,2016,12,2014,7,"Awaiting state reporting/enrollment reasonableness review in progress"
"District of Columbia",234516,50181,50181,0,2016,12,2014,4,
Mississippi,704321,,,,2016,12,2014,9,
"North Dakota",79031,10611,10351,260,2016,12,2014,6,
Pennsylvania,2082482,,,,2016,12,2014,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Guam,36696,2864,,2864,2016,12,2014,12,
Oklahoma,750053,,,,2016,12,2014,7,
Alaska,121405,,,,2016,12,2014,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"N. Mariana Islands",17000,,,,2016,12,2014,12,
"North Dakota",81364,14966,14523,443,2016,12,2014,10,
Colorado,1125105,289310,287699,1611,2016,12,2014,11,
"South Carolina",1193222,,,,2016,12,2014,12,
Michigan,2128637,326627,304205,22422,2016,12,2014,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota,1072791,173582,172671,911,2016,12,2014,8,
Mississippi,713334,,,,2016,12,2014,11,
Guam,36853,2975,,2975,2016,12,2014,8,
Indiana,1085349,,,,2016,12,2014,10,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
California,1212665,2200179,2200179,0,2016,12,2014,8,"Awaiting state reporting/enrollment reasonableness review in progress"
Colorado,976972,211389,210013,1376,2016,12,2014,3,
"Virgin Islands",14067,,,,2016,12,2014,1,
Tennessee,1337148,,,,2016,12,2014,1,
Florida,3828560,,,,2016,12,2014,3,
"District of Columbia",235611,50610,50610,0,2016,12,2014,5,
Totals,63871201,5642948,3653855,1989093,2016,12,2014,1,
Arizona,1480543,216415,25225,191190,2016,12,2014,3,
Kansas,369784,,,,2016,12,2014,5,
Maine,300029,,,,2016,12,2014,2,
Georgia,1798364,,,,2016,12,2014,11,
Michigan,1999310,219040,205777,13263,2016,12,2014,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"New Mexico",679117,141937,141937,0,2016,12,2014,6,
California,13052635,1099373,1099373,0,2016,12,2014,1,
Maine,289468,,,,2016,12,2014,8,
Louisiana,1243095,,,,2016,12,2014,3,
"American Samoa",36726,,,,2016,12,2014,7,
"Puerto Rico",1353613,403678,0,403678,2016,12,2014,11,
Michigan,2158014,468109,435482,32627,2016,12,2014,11,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Mississippi,709820,,,,2016,12,2014,10,
"North Carolina",1850567,,,,2016,12,2014,4,
Mississippi,700786,,,,2016,12,2014,8,
Colorado,1009483,227671,226319,1352,2016,12,2014,4,
Pennsylvania,2066613,,,,2016,12,2014,8,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Wyoming,67369,,,,2016,12,2014,1,
Massachusetts,1643200,287610,0,287610,2016,12,2014,1,
Maryland,1160217,203877,203877,0,2016,12,2014,6,
Oregon,998620,455800,385657,70143,2016,12,2014,11,
Alabama,1050254,,,,2016,12,2014,11,
Nebraska,231795,,,,2016,12,2014,6,
"West Virginia",455311,91775,91775,0,2016,12,2014,2,
Oregon,966688,424685,340639,84046,2016,12,2014,3,
Maryland,1146711,189277,189277,0,2016,12,2014,5,
Maryland,1128986,182456,182456,0,2016,12,2014,4,
Minnesota,1104618,181273,180276,997,2016,12,2014,10,
Missouri,774010,,,,2016,12,2014,5,
"New Hampshire",132034,,,,2016,12,2014,1,
Nevada,546817,145761,145761,0,2016,12,2014,8,
"New Hampshire",167988,29406,29124,282,2016,12,2014,12,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Wyoming,67675,,,,2016,12,2014,2,
Nevada,533369,138162,138162,0,2016,12,2014,7,
"District of Columbia",224559,45901,45901,0,2016,12,2014,1,
Idaho,286257,,,,2016,12,2014,8,
Louisiana,1329443,,,,2016,12,2014,7,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"American Samoa",36726,,,,2016,12,2014,1,
Montana,151235,,,,2016,12,2014,11,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Virginia,906574,,,,2016,12,2014,6,
Nebraska,234288,,,,2016,12,2014,11,
"Virgin Islands",13780,,,,2016,12,2014,3,
"South Dakota",107577,,,,2016,12,2014,9,
Minnesota,944960,131218,130780,438,2016,12,2014,1,
Alaska,119404,,,,2016,12,2014,9,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Hawaii,287393,76720,42231,34489,2016,12,2014,6,
Idaho,277167,,,,2016,12,2014,5,
Montana,151180,,,,2016,12,2014,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Utah,314706,,,,2016,12,2014,7,
Arizona,1722629,326936,51093,275843,2016,12,2014,10,
Guam,37123,3247,,3247,2016,12,2014,2,
Pennsylvania,2094487,,,,2016,12,2014,3,
California,14074434,2547235,2547235,0,2016,12,2014,12,"Awaiting state reporting/enrollment reasonableness review in progress"
Hawaii,275551,79196,32925,46271,2016,12,2014,11,
Idaho,277090,,,,2016,12,2014,4,
"South Carolina",1154194,,,,2016,12,2014,8,
Mississippi,674061,,,,2016,12,2014,4,
Hawaii,281175,68978,44704,24274,2016,12,2014,2,
Connecticut,851013,188969,177393,11576,2016,12,2014,12,
Alaska,113933,,,,2016,12,2014,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Maine,296097,,,,2016,12,2014,5,
Indiana,1072004,,,,2016,12,2014,8,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Louisiana,1247911,,,,2016,12,2014,2,
Montana,148697,,,,2016,12,2014,7,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"New Hampshire",138562,,,,2016,12,2014,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Maine,293895,,,,2016,12,2014,7,
"West Virginia",513061,144461,144461,0,2016,12,2014,8,
"New Mexico",635809,102914,102914,0,2016,12,2014,2,
Massachusetts,1935841,312554,0,312554,2016,12,2014,10,
Arkansas,863204,202906,179770,23136,2016,12,2014,1,
"N. Mariana Islands",17000,,,,2016,12,2014,5,
Idaho,276856,,,,2016,12,2014,6,
Idaho,287932,,,,2016,12,2014,9,
Maryland,1023255,129209,129209,0,2016,12,2014,1,
"North Dakota",83157,16727,16239,488,2016,12,2014,12,
Texas,4203865,,,,2016,12,2014,8,
"N. Mariana Islands",17000,,,,2016,12,2014,2,
"New Jersey",1637304,523727,523727,0,2016,12,2014,11,
"District of Columbia",236687,51136,51136,0,2016,12,2014,6,
"Rhode Island",258284,43682,43682,0,2016,12,2014,5,
"New Jersey",1499715,422064,422064,0,2016,12,2014,4,
Washington,1652422,483435,468045,15390,2016,12,2014,11,
Indiana,1054059,,,,2016,12,2014,9,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Massachusetts,1839152,304482,0,304482,2016,12,2014,7,
Minnesota,1066083,174492,173305,1187,2016,12,2014,9,
Arizona,1727294,344871,59407,285464,2016,12,2014,12,
Hawaii,285383,76560,40657,35903,2016,12,2014,7,
"New York",5832869,1124984,129494,995490,2016,12,2014,7,
Illinois,2981291,548695,537316,11379,2016,12,2014,10,
"American Samoa",36726,,,,2016,12,2014,10,
Oregon,960042,421897,337861,84036,2016,12,2014,2,
Illinois,2986448,569891,557744,12147,2016,12,2014,11,
Delaware,191451,56422,6806,49616,2016,12,2014,6,
"New Mexico",747501,179931,179931,0,2016,12,2014,11,
Texas,3974592,,,,2016,12,2014,3,
Pennsylvania,2108026,,,,2016,12,2014,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Iowa,551427,117698,109028,8670,2016,12,2014,11,
Texas,3909233,,,,2016,12,2014,2,
"N. Mariana Islands",17000,,,,2016,12,2014,9,
"N. Mariana Islands",17000,,,,2016,12,2014,10,
Iowa,509705,72215,70440,1775,2016,12,2014,2,
Texas,4052864,,,,2016,12,2014,5,
Utah,313626,,,,2016,12,2014,5,
Connecticut,848318,182013,170930,11083,2016,12,2014,11,
Indiana,1040282,,,,2016,12,2014,12,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Kansas,363360,,,,2016,12,2014,3,
"Virgin Islands",14095,,,,2016,12,2014,4,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Mississippi,651448,,,,2016,12,2014,2,
Alaska,117568,,,,2016,12,2014,6,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Missouri,807219,,,,2016,12,2014,9,
Kansas,367920,,,,2016,12,2014,10,
Indiana,1082404,,,,2016,12,2014,3,
Alabama,1047957,,,,2016,12,2014,8,
"North Carolina",1939481,,,,2016,12,2014,12,
Massachusetts,1786192,301674,0,301674,2016,12,2014,5,
Montana,146553,,,,2016,12,2014,8,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"North Dakota",81398,9350,9201,149,2016,12,2014,4,
Alaska,121071,,,,2016,12,2014,11,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"West Virginia",504018,138395,138395,0,2016,12,2014,7,
Wyoming,68320,,,,2016,12,2014,6,
Maine,298463,,,,2016,12,2014,3,
Vermont,189504,50204,0,50204,2016,12,2014,10,
Iowa,549935,110533,106093,4440,2016,12,2014,6,
Arkansas,818235,230456,188982,41474,2016,12,2014,4,
Nebraska,234004,,,,2016,12,2014,1,
Colorado,1021745,231478,230109,1369,2016,12,2014,5,
Wyoming,72680,,,,2016,12,2014,9,
Virginia,914206,,,,2016,12,2014,8,
"District of Columbia",239847,52272,52272,0,2016,12,2014,8,
Washington,1575376,401033,383395,17638,2016,12,2014,5,
Colorado,923526,176881,175576,1305,2016,12,2014,2,
"New York",5992264,1494419,202684,1291735,2016,12,2014,12,
Delaware,197679,53063,4356,48707,2016,12,2014,3,
"South Carolina",1025519,,,,2016,12,2014,1,
Kansas,368230,,,,2016,12,2014,12,
"American Samoa",36726,,,,2016,12,2014,9,
Massachusetts,1890532,305794,0,305794,2016,12,2014,9,
Montana,152200,,,,2016,12,2014,12,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"Puerto Rico",1792502,586253,,586253,2016,12,2014,8,
Minnesota,1105285,182657,181625,1032,2016,12,2014,11,
Minnesota,986434,149596,148776,820,2016,12,2014,3,
"New Jersey",1624539,512327,512327,0,2016,12,2014,10,
Idaho,290376,,,,2016,12,2014,12,
"New Mexico",753184,184942,184942,0,2016,12,2014,12,
Louisiana,1351281,,,,2016,12,2014,10,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Nebraska,233531,,,,2016,12,2014,7,
Arkansas,821766,233637,191410,42227,2016,12,2014,5,
Wisconsin,1184601,,,,2016,12,2014,12,
Indiana,1092610,,,,2016,12,2014,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
California,1212294,2281148,2281148,0,2016,12,2014,9,"Awaiting state reporting/enrollment reasonableness review in progress"
"North Dakota",77402,7309,7217,92,2016,12,2014,2,
Kansas,367865,,,,2016,12,2014,11,
Nevada,563262,156835,156835,0,2016,12,2014,10,
"New Hampshire",140340,,,,2016,12,2014,7,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
