state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
Kansas,374444,,,,2020,2,2018,9,
Vermont,172504,56993,0,56993,2020,2,2018,11,
Connecticut,951730,264330,240657,23673,2020,2,2018,12,
Alabama,1019417,,,,2020,2,2018,7,
Arizona,1873080,414203,106007,308196,2020,2,2018,8,
Missouri,903552,,,,2020,2,2018,11,
Nevada,602322,214260,214260,0,2020,2,2018,8,
"New Jersey",1656601,552053,552053,0,2020,2,2018,12,
Arkansas,862562,264626,263881,745,2020,2,2018,11,
Colorado,1300426,411490,404538,6952,2020,2,2018,9,
Kansas,372118,,,,2020,2,2018,12,
"New Hampshire",185826,54920,54637,283,2020,2,2018,11,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Kentucky,1292585,449995,449995,0,2020,2,2018,12,
"Amer. Samoa",28183,,,,2020,2,2018,12,
Alaska,206088,48735,48732,3,2020,2,2018,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Hawaii,322003,116486,21627,94859,2020,2,2018,7,
Iowa,602886,168966,154137,14829,2020,2,2018,11,
Colorado,1288644,409565,402363,7202,2020,2,2018,10,
Arizona,1875585,417955,106001,311954,2020,2,2018,11,
Arizona,1875915,420159,106170,313989,2020,2,2018,12,
Illinois,2835995,724881,617626,107255,2020,2,2018,7,
"New Hampshire",187403,55149,54872,277,2020,2,2018,7,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Montana,257807,98633,98633,0,2020,2,2018,11,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Louisiana,1644548,484602,484602,0,2020,2,2018,7,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
"South Dakota",104100,,,,2020,2,2018,11,
Montana,259669,99148,99148,0,2020,2,2018,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2900621,586054,585763,291,2020,2,2018,10,
Missouri,943536,,,,2020,2,2018,8,
Tennessee,1509553,,,,2020,2,2018,12,
Texas,4258552,,,,2020,2,2018,7,
Hawaii,315744,113064,21058,92006,2020,2,2018,11,
Maine,251140,0,0,0,2020,2,2018,10,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1701088,334737,0,334737,2020,2,2018,12,
Virginia,1082925,0,0,0,2020,2,2018,12,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"New Jersey",1667572,552008,552008,0,2020,2,2018,10,
"New York",6149602,1911261,300546,1610715,2020,2,2018,11,
Washington,1773278,569954,555955,13999,2020,2,2018,7,
Delaware,218580,62573,9702,52871,2020,2,2018,11,
Wisconsin,1184828,,,,2020,2,2018,8,
Oregon,956800,458684,380477,78207,2020,2,2018,11,
Guam,36322,4039,,4039,2020,2,2018,8,
Delaware,210857,62684,10040,52644,2020,2,2018,7,
"North Dakota",92213,20185,19193,992,2020,2,2018,7,
California,12953106,3787702,3787702,0,2020,2,2018,7,
Connecticut,941173,254526,232838,21688,2020,2,2018,8,
Maryland,1214405,307932,307932,0,2020,2,2018,9,
"Puerto Rico",1223270,400209,,400209,2020,2,2018,12,
"South Carolina",1266260,,,,2020,2,2018,8,
"Dist. Of Col.",260411,108584,67018,41566,2020,2,2018,10,
"West Virginia",531916,162893,162893,0,2020,2,2018,10,
Wyoming,56278,,,,2020,2,2018,12,
Maryland,1218003,308613,308613,0,2020,2,2018,8,
Missouri,897164,,,,2020,2,2018,12,
Oklahoma,655330,,,,2020,2,2018,8,
Washington,1759134,564404,550659,13745,2020,2,2018,11,
Florida,3717196,,,,2020,2,2018,12,
Louisiana,1649027,493404,493404,0,2020,2,2018,11,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Oregon,960626,458091,383777,74314,2020,2,2018,7,
Massachusetts,1798421,354871,0,354871,2020,2,2018,7,
Idaho,301897,,,,2020,2,2018,9,
Guam,36382,4041,,4041,2020,2,2018,7,
"Dist. Of Col.",260240,109131,67651,41480,2020,2,2018,9,
Kentucky,1320886,460997,460997,0,2020,2,2018,8,
"New Jersey",1690311,564120,564120,0,2020,2,2018,7,
Oklahoma,649827,,,,2020,2,2018,11,
Virginia,1070456,0,0,0,2020,2,2018,8,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kentucky,1308238,454781,454781,0,2020,2,2018,9,
Alaska,205437,47522,47520,2,2020,2,2018,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Mississippi,675028,,,,2020,2,2018,9,
Hawaii,317217,113491,20999,92492,2020,2,2018,10,
Illinois,2681580,688386,581454,106932,2020,2,2018,12,
Wyoming,57649,,,,2020,2,2018,7,
Pennsylvania,2866246,774485,735754,38731,2020,2,2018,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"New Mexico",835672,250673,250673,0,2020,2,2018,8,
Louisiana,1652110,495453,495453,0,2020,2,2018,12,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1314309,304042,304042,0,2020,2,2018,11,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Idaho,304138,,,,2020,2,2018,12,
Utah,293018,,,,2020,2,2018,11,
California,12725382,3733737,3733737,0,2020,2,2018,9,
Missouri,941393,,,,2020,2,2018,7,
"N. Mariana Islands",16417,,,,2020,2,2018,9,
"South Carolina",1256277,,,,2020,2,2018,7,
Indiana,1332154,304739,304739,0,2020,2,2018,7,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Illinois,2819278,718945,611650,107295,2020,2,2018,8,
Texas,4259080,,,,2020,2,2018,8,
Washington,1759718,568958,555071,13887,2020,2,2018,12,
"New Hampshire",186104,54851,54553,298,2020,2,2018,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
"New Mexico",834585,251482,251482,0,2020,2,2018,10,
"New Mexico",832586,252949,252949,0,2020,2,2018,12,
"South Dakota",104391,,,,2020,2,2018,10,
Texas,4217767,,,,2020,2,2018,12,
Connecticut,941142,259611,236522,23089,2020,2,2018,11,
"Amer. Samoa",27898,,,,2020,2,2018,8,
Iowa,606771,169110,154410,14700,2020,2,2018,10,
"New York",6146669,1909545,300806,1608739,2020,2,2018,12,
Nebraska,246589,,,,2020,2,2018,8,
Hawaii,320843,115454,21523,93931,2020,2,2018,8,
Utah,293397,,,,2020,2,2018,7,
Maryland,1214367,308841,308841,0,2020,2,2018,10,
"South Carolina",1264072,,,,2020,2,2018,10,
Colorado,1298991,410093,403062,7031,2020,2,2018,8,
Delaware,211280,62798,10046,52752,2020,2,2018,8,
"Amer. Samoa",28183,,,,2020,2,2018,11,
Arkansas,845850,256595,255852,743,2020,2,2018,12,
Nevada,601200,214714,214714,0,2020,2,2018,7,
Missouri,916574,,,,2020,2,2018,10,
Hawaii,318337,114226,21206,93020,2020,2,2018,9,
Idaho,303763,,,,2020,2,2018,11,
Guam,36512,4127,,4127,2020,2,2018,10,
Wisconsin,1183158,,,,2020,2,2018,10,
Alaska,206259,47883,47882,1,2020,2,2018,8,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Oregon,956519,456013,381146,74867,2020,2,2018,8,
Nebraska,243681,,,,2020,2,2018,12,
Vermont,174092,57632,0,57632,2020,2,2018,10,
Mississippi,678980,,,,2020,2,2018,7,
"N. Mariana Islands",15871,,,,2020,2,2018,11,
"South Dakota",104062,,,,2020,2,2018,12,
"New Jersey",1685266,561470,561470,0,2020,2,2018,8,
Totals,75525925,15223609,12018088,3205521,2020,2,2018,11,
Michigan,2422058,683634,628160,55474,2020,2,2018,11,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Kentucky,1298359,451771,451771,0,2020,2,2018,11,
"West Virginia",536370,165238,165238,0,2020,2,2018,7,
Connecticut,935416,256847,233875,22972,2020,2,2018,10,
Oklahoma,653027,,,,2020,2,2018,10,
Maine,251934,0,0,0,2020,2,2018,9,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Pennsylvania,2858626,771881,733403,38478,2020,2,2018,11,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"South Dakota",105274,,,,2020,2,2018,8,
Montana,258642,98389,98389,0,2020,2,2018,8,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Arizona,1880703,417074,106282,310792,2020,2,2018,9,
Ohio,2936429,601592,601305,287,2020,2,2018,7,
Maine,253059,0,0,0,2020,2,2018,7,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Tennessee,1505230,,,,2020,2,2018,11,
Ohio,2925809,594833,594549,284,2020,2,2018,8,
Massachusetts,1758706,348278,0,348278,2020,2,2018,8,
Mississippi,670959,,,,2020,2,2018,12,
"Virgin Islands",25324,11135,,11135,2020,2,2018,8,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
"New Mexico",835397,252671,252671,0,2020,2,2018,11,
Colorado,1295757,405756,398806,6950,2020,2,2018,7,
"Dist. Of Col.",261004,108667,67073,41594,2020,2,2018,11,
Wyoming,57709,,,,2020,2,2018,8,
Pennsylvania,2849170,769039,730764,38275,2020,2,2018,12,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1078915,0,0,0,2020,2,2018,11,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Connecticut,928800,250696,229072,21624,2020,2,2018,7,
Indiana,1293678,301500,301500,0,2020,2,2018,12,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Delaware,211235,62735,9984,52751,2020,2,2018,9,
"North Dakota",93365,20542,19521,1021,2020,2,2018,8,
Maine,248113,0,0,0,2020,2,2018,12,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Vermont,175819,57944,0,57944,2020,2,2018,7,
Arizona,1872908,416061,106046,310015,2020,2,2018,10,
Massachusetts,1764713,271885,0,271885,2020,2,2018,11,
Minnesota,1077132,197968,196976,992,2020,2,2018,9,
"West Virginia",525287,160732,160732,0,2020,2,2018,12,
"New York",6156470,1914377,299840,1614537,2020,2,2018,10,
Nebraska,245070,,,,2020,2,2018,9,
Kansas,375289,,,,2020,2,2018,8,
Utah,290794,,,,2020,2,2018,12,
Iowa,603783,166288,152389,13899,2020,2,2018,7,
"New Mexico",838548,251347,251347,0,2020,2,2018,7,
Louisiana,1641821,487635,487635,0,2020,2,2018,9,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Wyoming,57177,,,,2020,2,2018,11,
Tennessee,1497202,,,,2020,2,2018,8,
"Amer. Samoa",27898,,,,2020,2,2018,7,
"Dist. Of Col.",261096,108901,67213,41688,2020,2,2018,12,
Oklahoma,653774,,,,2020,2,2018,7,
Nevada,591035,211278,211278,0,2020,2,2018,12,
Utah,292060,,,,2020,2,2018,10,
Georgia,1984150,,,,2020,2,2018,7,
"Rhode Island",308738,68848,68848,0,2020,2,2018,7,
"Dist. Of Col.",260790,109859,68512,41347,2020,2,2018,8,
Colorado,1274037,400640,393453,7187,2020,2,2018,11,
Guam,36128,4034,,4034,2020,2,2018,9,
Kansas,374483,,,,2020,2,2018,10,
"North Carolina",2178793,,,,2020,2,2018,12,
Ohio,2882540,581018,580729,289,2020,2,2018,11,
"Virgin Islands",26666,12155,,11155,2020,2,2018,10,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Florida,3831170,,,,2020,2,2018,11,
"South Dakota",104669,,,,2020,2,2018,9,
Indiana,1328932,303464,303464,0,2020,2,2018,10,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Idaho,301537,,,,2020,2,2018,8,
Hawaii,314082,112703,20972,91731,2020,2,2018,12,
California,12895963,3773620,3773620,0,2020,2,2018,8,
Illinois,2784328,710385,603602,106783,2020,2,2018,9,
Nebraska,245360,,,,2020,2,2018,7,
Nevada,599811,214196,214196,0,2020,2,2018,10,
Montana,252126,96177,96177,0,2020,2,2018,9,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"Puerto Rico",1250705,413233,,413233,2020,2,2018,8,
Oregon,946804,454172,375927,78245,2020,2,2018,12,
"N. Mariana Islands",17244,,,,2020,2,2018,8,
Georgia,1942580,,,,2020,2,2018,10,
Illinois,2716062,695325,588527,106798,2020,2,2018,11,
Alabama,1021951,,,,2020,2,2018,8,
Michigan,2435746,684662,625175,59487,2020,2,2018,8,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Pennsylvania,2883428,784058,744705,39353,2020,2,2018,8,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"N. Mariana Islands",15779,,,,2020,2,2018,12,
"Rhode Island",308970,68866,68866,0,2020,2,2018,10,
Totals,76065396,15388683,12094997,3293686,2020,2,2018,8,
"Puerto Rico",1253229,410022,,410022,2020,2,2018,11,
"Puerto Rico",1273976,421577,,421577,2020,2,2018,7,
Minnesota,1107314,205850,205091,759,2020,2,2018,7,
Nebraska,244729,,,,2020,2,2018,11,
"Rhode Island",308518,68646,68646,0,2020,2,2018,9,
Florida,3886256,,,,2020,2,2018,7,
Florida,3850158,,,,2020,2,2018,8,
Texas,4234019,,,,2020,2,2018,11,
Iowa,603495,167205,153121,14084,2020,2,2018,8,
Arizona,1870925,413637,105382,308255,2020,2,2018,7,
Oregon,961729,460745,383282,77463,2020,2,2018,10,
Mississippi,674804,,,,2020,2,2018,10,
"South Carolina",1265677,,,,2020,2,2018,12,
Michigan,2432660,684366,625401,58965,2020,2,2018,9,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Wyoming,58084,,,,2020,2,2018,10,
Alabama,1026849,,,,2020,2,2018,12,
Arkansas,904820,266173,265322,851,2020,2,2018,9,
Minnesota,1057341,192820,192256,564,2020,2,2018,12,
Massachusetts,1753049,346163,0,346163,2020,2,2018,10,
Delaware,219077,62623,9772,52851,2020,2,2018,10,
Kansas,372581,,,,2020,2,2018,11,
Wisconsin,1186931,,,,2020,2,2018,7,
California,12674291,3745157,3745154,3,2020,2,2018,12,
Alaska,206553,49465,49460,5,2020,2,2018,11,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Oklahoma,646589,,,,2020,2,2018,9,
Totals,75485517,15269032,11981910,3287122,2020,2,2018,9,
"New York",6158161,1925093,301455,1623638,2020,2,2018,7,
Maryland,1213505,306497,306497,0,2020,2,2018,7,
Minnesota,1084321,199057,198138,919,2020,2,2018,11,
"North Dakota",89678,19542,18618,924,2020,2,2018,12,
Vermont,175625,58129,0,58129,2020,2,2018,8,
"North Carolina",2181676,,,,2020,2,2018,10,
Wisconsin,1177714,,,,2020,2,2018,12,
"New Hampshire",185705,55448,55172,276,2020,2,2018,12,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Nebraska,245662,,,,2020,2,2018,10,
Virginia,1073725,0,0,0,2020,2,2018,10,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kentucky,1299471,451805,451805,0,2020,2,2018,10,
"New Hampshire",187247,55119,54831,288,2020,2,2018,8,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
"Virgin Islands",25097,10924,,10924,2020,2,2018,7,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
"Virgin Islands",26983,12315,,12315,2020,2,2018,11,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Arkansas,872212,269136,268280,856,2020,2,2018,10,
Guam,36285,4165,,4165,2020,2,2018,12,
Maryland,1211894,309758,309758,0,2020,2,2018,12,
Maryland,1214140,309524,309524,0,2020,2,2018,11,
"North Carolina",2178497,,,,2020,2,2018,9,
Connecticut,936487,256183,233395,22788,2020,2,2018,9,
Kansas,375489,,,,2020,2,2018,7,
"North Dakota",90257,19716,18751,965,2020,2,2018,11,
"West Virginia",536985,164961,164961,0,2020,2,2018,8,
Arkansas,914767,275602,274810,792,2020,2,2018,8,
Minnesota,1096403,202648,201759,889,2020,2,2018,8,
Idaho,299571,,,,2020,2,2018,7,
Indiana,1298758,296719,296719,0,2020,2,2018,9,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Iowa,604261,169743,154768,14975,2020,2,2018,12,
Texas,4254567,,,,2020,2,2018,10,
Illinois,2749591,702914,596398,106516,2020,2,2018,10,
Vermont,172859,57340,0,57340,2020,2,2018,12,
Georgia,1942727,,,,2020,2,2018,11,
California,12806573,3778550,3778548,2,2020,2,2018,11,
"North Carolina",2184416,,,,2020,2,2018,8,
"New Jersey",1661294,551660,551660,0,2020,2,2018,11,
Wisconsin,1177346,,,,2020,2,2018,11,
Delaware,0,0,0,0,2020,2,2018,12,
Mississippi,672864,,,,2020,2,2018,11,
Nevada,600762,213869,213869,0,2020,2,2018,9,
"N. Mariana Islands",17402,,,,2020,2,2018,7,
Tennessee,1560057,,,,2020,2,2018,7,
Georgia,1932732,,,,2020,2,2018,9,
Utah,293908,,,,2020,2,2018,9,
Maine,253084,0,0,0,2020,2,2018,8,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Rhode Island",307307,68579,68579,0,2020,2,2018,11,
"Dist. Of Col.",261661,110826,70172,40654,2019,12,2018,3,
Wyoming,58687,,,,2019,12,2018,5,
Mississippi,683577,,,,2019,12,2018,6,
Ohio,2934726,603026,602698,328,2019,12,2018,6,
Connecticut,927265,248443,226951,21492,2019,12,2018,6,
Iowa,602532,165509,151969,13540,2019,12,2018,6,
Nevada,600837,214489,214489,0,2019,12,2018,6,
"South Dakota",105484,,,,2019,12,2018,6,
Vermont,175896,57625,0,57625,2019,12,2018,6,
Nevada,598712,214570,214570,0,2019,12,2018,2,
Texas,4304474,,,,2019,12,2018,2,
"Amer. Samoa",27898,,,,2019,12,2018,6,
Virginia,1069506,,,,2019,12,2018,6,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"New York",6166041,1937397,303464,1633933,2019,12,2018,2,
Pennsylvania,2745884,798424,757342,41082,2019,12,2018,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Totals,77061511,15805637,12384750,3421157,2019,12,2018,1,
Minnesota,1078140,202237,201547,690,2019,12,2018,3,
Kansas,373438,,,,2019,12,2018,4,
Totals,76816414,15643345,12338135,3305210,2019,12,2018,2,
"South Dakota",105999,,,,2019,12,2018,5,
Mississippi,690180,,,,2019,12,2018,4,
"West Virginia",542038,168039,168039,0,2019,12,2018,2,
Wyoming,59007,,,,2019,12,2018,4,
"N. Mariana Islands",1492,,,,2019,12,2018,1,
"Dist. Of Col.",260422,109689,69206,40483,2019,12,2018,5,
Indiana,1350223,314421,314421,0,2019,12,2018,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Minnesota,1084832,201427,200712,715,2019,12,2018,6,
Arkansas,929130,300840,300546,294,2019,12,2018,2,
Guam,35203,3869,,3869,2019,12,2018,3,
Kentucky,1328039,467275,467275,0,2019,12,2018,6,
Alaska,198535,44653,44628,25,2019,12,2018,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"West Virginia",542281,169044,169044,0,2019,12,2018,1,
Virginia,1059761,,,,2019,12,2018,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"New Hampshire",189480,55881,55590,291,2019,12,2018,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Texas,4274020,,,,2019,12,2018,4,
Oregon,953677,451266,380076,71190,2019,12,2018,3,
Maine,256936,0,0,0,2019,12,2018,5,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Colorado,1303683,410736,408472,2264,2019,12,2018,1,
Alabama,1020672,,,,2019,12,2018,5,
Nebraska,247459,,,,2019,12,2018,3,
Nebraska,246679,,,,2019,12,2018,2,
Hawaii,331067,120890,22889,98001,2019,12,2018,2,
Kansas,370031,,,,2019,12,2018,3,
Kansas,364986,,,,2019,12,2018,5,
Tennessee,1601537,,,,2019,12,2018,4,
Illinois,2827783,717537,610604,106933,2019,12,2018,6,
"New York",6170793,1941667,304192,1637745,2019,12,2018,1,
"Rhode Island",309321,69813,69813,0,2019,12,2018,2,
"North Dakota",93019,20893,19828,1065,2019,12,2018,1,
Florida,3931883,,,,2019,12,2018,4,
"Amer. Samoa",27898,,,,2019,12,2018,1,
Alabama,1022959,,,,2019,12,2018,3,
Texas,4326704,,,,2019,12,2018,1,
"South Dakota",105769,,,,2019,12,2018,4,
"South Carolina",1234824,,,,2019,12,2018,6,
Kansas,374385,,,,2019,12,2018,1,
Missouri,964163,,,,2019,12,2018,5,
Vermont,178890,58948,0,58948,2019,12,2018,3,
"New Mexico",859338,257150,257150,0,2019,12,2018,2,
Guam,36260,3995,,3995,2019,12,2018,4,
"North Dakota",93182,20818,19747,1071,2019,12,2018,2,
Kentucky,1333466,470924,470924,0,2019,12,2018,5,
Colorado,1298809,410725,408481,2244,2019,12,2018,2,
Washington,1783138,579950,566816,13134,2019,12,2018,3,
"N. Mariana Islands",1473,,,,2019,12,2018,3,
Oregon,965406,459175,386416,72759,2019,12,2018,4,
Connecticut,920198,242204,222150,20054,2019,12,2018,1,
Guam,36209,4038,,4038,2019,12,2018,5,
Oregon,959901,453840,382597,71243,2019,12,2018,2,
Mississippi,692063,,,,2019,12,2018,3,
"Puerto Rico",1284209,419875,,419875,2019,12,2018,6,
Idaho,295367,,,,2019,12,2018,5,
Kentucky,1353473,492959,492959,0,2019,12,2018,1,
"New Jersey",1699765,568364,568364,0,2019,12,2018,1,
Indiana,1346039,319894,319894,0,2019,12,2018,2,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
"West Virginia",539313,167081,167081,0,2019,12,2018,5,
Louisiana,1647111,485112,485112,0,2019,12,2018,5,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
"Amer. Samoa",27898,,,,2019,12,2018,3,
Montana,256839,94916,94916,0,2019,12,2018,1,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
