State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"Nevada ","792,898 ","338,956 ","338,956 ","0 ",2023,8,2022,2,
"New Hampshire ","229,452 ","87,548 ","87,079 ","469 ",2023,8,2022,2,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","1,985,858 ","727,561 ","727,561 ","0 ",2023,8,2022,2,
"New Mexico ","966,015 ","293,576 ","293,576 ","0 ",2023,8,2022,2,
"New York ","7,392,992 ","2,465,592 ","431,082 ","2,034,510 ",2023,8,2022,2,
"North Carolina ","2,713,573 ",N/A,N/A,N/A,2023,8,2022,2,
"North Dakota ","121,363 ","31,423 ","29,949 ","1,474 ",2023,8,2022,2,
"Ohio ","3,417,273 ","818,659 ","818,412 ","247 ",2023,8,2022,2,
"Oklahoma ","1,105,557 ","262,874 ","262,874 ","0 ",2023,8,2022,2,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,229,146 ","677,248 ","578,640 ","98,608 ",2023,8,2022,2,
"Pennsylvania ","3,458,251 ","1,095,409 ","1,036,037 ","59,372 ",2023,8,2022,2,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,447,521 ","646,645 ","0 ","646,645 ",2023,8,2022,2,
"Rhode Island ","342,676 ","94,080 ","94,080 ","0 ",2023,8,2022,2,
"South Carolina ","1,501,204 ",N/A,N/A,N/A,2023,8,2022,2,
"South Dakota ","127,613 ",N/A,N/A,N/A,2023,8,2022,2,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
"Tennessee ","1,782,424 ",N/A,N/A,N/A,2023,8,2022,2,
"Texas ","5,579,001 ",N/A,N/A,N/A,2023,8,2022,2,
"Utah ","473,785 ","117,815 ","116,875 ","940 ",2023,8,2022,2,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","197,426 ","72,911 ","0 ","72,911 ",2023,8,2022,2,
"Virgin Islands ","35,935 ","17,600 ","0 ","17,600 ",2023,8,2022,2,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,802,796 ","631,048 ","631,048 ","0 ",2023,8,2022,2,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ","2,077,957 ","786,956 ","770,997 ","15,959 ",2023,8,2022,2,
"West Virginia ","630,097 ","225,525 ","225,525 ","0 ",2023,8,2022,2,
"Wisconsin ","1,487,883 ",N/A,N/A,N/A,2023,8,2022,2,
"Wyoming ","77,949 ",N/A,N/A,N/A,2023,8,2022,2,
Totals,"92,416,336 ","22,150,881 ","17,691,967 ","4,458,914 ",2023,8,2022,2,
"Alabama ","1,260,607 ",N/A,N/A,N/A,2023,8,2022,3,
"Alaska ","251,106 ","70,477 ","70,476 ","1 ",2023,8,2022,3,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","31,434 ",N/A,N/A,N/A,2023,8,2022,3,
"Arizona ","2,314,912 ","666,204 ","190,040 ","476,164 ",2023,8,2022,3,
"Arkansas ","1,014,875 ","339,059 ","329,482 ","9,577 ",2023,8,2022,3,
"California ","14,216,937 ","4,718,224 ","4,688,318 ","29,906 ",2023,8,2022,3,
"Colorado ","1,597,863 ","583,724 ","573,382 ","10,342 ",2023,8,2022,3,
"Connecticut ","1,110,728 ","350,914 ","321,522 ","29,392 ",2023,8,2022,3,
"Delaware ","272,553 ","88,859 ","14,013 ","74,846 ",2023,8,2022,3,
"Dist. Of Col. ","280,364 ","128,937 ","84,659 ","44,278 ",2023,8,2022,3,
"Florida ","5,174,431 ",N/A,N/A,N/A,2023,8,2022,3,
"Georgia ","2,460,445 ",N/A,N/A,N/A,2023,8,2022,3,
"Guam ","37,773 ","4,716 ","0 ","4,716 ",2023,8,2022,3,
"Hawaii ","445,579 ","175,395 ","30,526 ","144,869 ",2023,8,2022,3,
"Idaho ","437,990 ","115,444 ","115,444 ","0 ",2023,8,2022,3,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,255,694 ","943,566 ","844,175 ","99,391 ",2023,8,2022,3,
"Indiana ","1,930,766 ","549,383 ","549,383 ","0 ",2023,8,2022,3,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","752,092 ","246,686 ","193,142 ","53,544 ",2023,8,2022,3,
"Kansas ","444,343 ",N/A,N/A,N/A,2023,8,2022,3,
"Kentucky ","1,507,591 ","599,659 ","599,659 ","0 ",2023,8,2022,3,
"Louisiana ","1,954,581 ","726,917 ","726,917 ","0 ",2023,8,2022,3,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","369,005 ","98,253 ","78,111 ","20,142 ",2023,8,2022,3,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,520,849 ","435,332 ","435,332 ","0 ",2023,8,2022,3,
"Massachusetts ","2,069,317 ","462,256 ","0 ","462,256 ",2023,8,2022,3,
"Michigan ","2,939,260 ","991,917 ","928,196 ","63,721 ",2023,8,2022,3,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,308,442 ","284,062 ","284,062 ","0 ",2023,8,2022,3,
"Mississippi ","805,457 ",N/A,N/A,N/A,2023,8,2022,3,
"Missouri ","1,218,307 ","83,686 ","83,686 ","0 ",2023,8,2022,3,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ","294,038 ","114,945 ","114,945 ","0 ",2023,8,2022,3,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","15,277 ",N/A,N/A,N/A,2023,8,2022,3,
"Nebraska ","364,139 ","66,256 ","64,901 ","1,355 ",2023,8,2022,3,
"Nevada ","797,027 ","341,483 ","341,483 ","0 ",2023,8,2022,3,
"New Hampshire ","230,206 ","88,143 ","87,670 ","473 ",2023,8,2022,3,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","1,998,079 ","732,619 ","732,619 ","0 ",2023,8,2022,3,
"New Mexico ","967,492 ","293,763 ","293,763 ","0 ",2023,8,2022,3,
"New York ","7,416,161 ","2,473,659 ","430,231 ","2,043,428 ",2023,8,2022,3,
"North Carolina ","2,729,881 ",N/A,N/A,N/A,2023,8,2022,3,
"North Dakota ","122,902 ","31,987 ","30,488 ","1,499 ",2023,8,2022,3,
"Ohio ","3,433,679 ","825,150 ","824,907 ","243 ",2023,8,2022,3,
"Oklahoma ","1,108,063 ","271,642 ","271,642 ","0 ",2023,8,2022,3,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,235,078 ","680,903 ","581,880 ","99,023 ",2023,8,2022,3,
"Pennsylvania ","3,480,422 ","1,105,421 ","1,045,418 ","60,003 ",2023,8,2022,3,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,450,060 ","648,516 ","0 ","648,516 ",2023,8,2022,3,
"Rhode Island ","343,260 ","94,538 ","94,538 ","0 ",2023,8,2022,3,
"South Carolina ","1,510,029 ",N/A,N/A,N/A,2023,8,2022,3,
"South Dakota ","128,685 ",N/A,N/A,N/A,2023,8,2022,3,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
"Tennessee ","1,787,438 ",N/A,N/A,N/A,2023,8,2022,3,
"Texas ","5,633,981 ",N/A,N/A,N/A,2023,8,2022,3,
"Utah ","478,145 ","120,121 ","119,202 ","919 ",2023,8,2022,3,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","197,879 ","73,056 ","0 ","73,056 ",2023,8,2022,3,
"Virgin Islands ","36,344 ","17,681 ","0 ","17,681 ",2023,8,2022,3,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,814,910 ","637,440 ","637,440 ","0 ",2023,8,2022,3,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ","2,081,732 ","790,298 ","774,051 ","16,247 ",2023,8,2022,3,
"West Virginia ","633,719 ","227,864 ","227,864 ","0 ",2023,8,2022,3,
"Wisconsin ","1,493,798 ",N/A,N/A,N/A,2023,8,2022,3,
"Wyoming ","77,840 ",N/A,N/A,N/A,2023,8,2022,3,
Totals,"92,843,565 ","22,299,155 ","17,813,567 ","4,485,588 ",2023,8,2022,3,
"Alabama ","1,265,133 ",N/A,N/A,N/A,2023,10,2022,4,
"Alaska ","252,276 ","70,890 ","70,888 ","2 ",2023,10,2022,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","31,434 ",N/A,N/A,N/A,2023,10,2022,4,
"Arizona ","2,328,557 ","673,406 ","190,211 ","483,195 ",2023,10,2022,4,
"Arkansas ","1,027,582 ","340,651 ","330,906 ","9,745 ",2023,10,2022,4,
"California ","14,363,770 ","4,775,574 ","4,745,599 ","29,975 ",2023,10,2022,4,
"Colorado ","1,608,456 ","589,545 ","578,620 ","10,925 ",2023,10,2022,4,
"Connecticut ","1,117,080 ","353,335 ","323,785 ","29,550 ",2023,10,2022,4,
"Delaware ","274,718 ","89,600 ","13,992 ","75,608 ",2023,10,2022,4,
"Dist. Of Col. ","281,801 ","129,933 ","85,467 ","44,466 ",2023,10,2022,4,
"Florida ","5,152,004 ",N/A,N/A,N/A,2023,10,2022,4,
"Georgia ","2,470,438 ",N/A,N/A,N/A,2023,10,2022,4,
"Guam ","39,555 ","5,019 ",N/A,"5,019 ",2023,10,2022,4,
"Hawaii ","447,824 ","176,866 ","30,702 ","146,164 ",2023,10,2022,4,
"Idaho ","443,280 ","126,889 ","126,889 ","0 ",2023,10,2022,4,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,284,616 ","949,532 ","850,393 ","99,139 ",2023,10,2022,4,
"Indiana ","1,965,398 ","555,956 ","555,956 ","0 ",2023,10,2022,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","756,600 ","248,164 ","193,196 ","54,968 ",2023,10,2022,4,
"Kansas ","446,386 ",N/A,N/A,N/A,2023,10,2022,4,
"Kentucky ","1,516,263 ","604,993 ","604,993 ","0 ",2023,10,2022,4,
"Louisiana ","8,563,852 ","7,330,390 ","7,330,390 ","0 ",2023,10,2022,4,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","375,854 ","100,685 ","79,740 ","20,945 ",2023,10,2022,4,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","5,479,697 ","4,389,074 ","4,389,074 ","0 ",2023,10,2022,4,
"Massachusetts ","2,080,282 ","467,456 ","0 ","467,456 ",2023,10,2022,4,
"Michigan ","2,951,035 ","998,456 ","934,393 ","64,063 ",2023,10,2022,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,324,536 ","287,969 ","287,969 ","0 ",2023,10,2022,4,
"Mississippi ","807,669 ",N/A,N/A,N/A,2023,10,2022,4,
"Missouri ","1,243,582 ","169,785 ","169,785 ","0 ",2023,10,2022,4,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ","295,372 ","115,591 ","115,591 ","0 ",2023,10,2022,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","18,170 ",N/A,N/A,N/A,2023,10,2022,4,
"Nebraska ","379,491 ","77,963 ","76,260 ","1,703 ",2023,10,2022,4,
"Nevada ","800,882 ","343,252 ","343,252 ","0 ",2023,10,2022,4,
"New Hampshire ","230,660 ","88,800 ","88,326 ","474 ",2023,10,2022,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","2,002,876 ","734,260 ","734,260 ","0 ",2023,10,2022,4,
"New Mexico ","970,620 ","294,988 ","294,988 ","0 ",2023,10,2022,4,
"New York ","7,454,959 ","2,479,550 ","429,212 ","2,050,338 ",2023,10,2022,4,
"North Carolina ","2,745,631 ",N/A,N/A,N/A,2023,10,2022,4,
"North Dakota ","123,598 ","32,679 ","31,043 ","1,636 ",2023,10,2022,4,
"Ohio ","3,445,836 ","832,202 ","831,967 ","235 ",2023,10,2022,4,
"Oklahoma ","1,131,617 ","282,388 ","282,388 ","0 ",2023,10,2022,4,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,244,840 ","685,145 ","585,274 ","99,871 ",2023,10,2022,4,
"Pennsylvania ","3,495,010 ","1,111,312 ","1,050,539 ","60,773 ",2023,10,2022,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Puerto Rico ","1,453,990 ","650,738 ",N/A,"650,738 ",2023,10,2022,4,
"Rhode Island ","344,163 ","94,828 ","94,828 ","0 ",2023,10,2022,4,
"South Carolina ","1,519,825 ",N/A,N/A,N/A,2023,10,2022,4,
"South Dakota ","129,282 ",N/A,N/A,N/A,2023,10,2022,4,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
"Tennessee ","1,799,016 ",N/A,N/A,N/A,2023,10,2022,4,
"Texas ","5,718,015 ",N/A,N/A,N/A,2023,10,2022,4,
"Utah ","482,188 ","122,212 ","121,258 ","954 ",2023,10,2022,4,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ","198,364 ","73,212 ","0 ","73,212 ",2023,10,2022,4,
"Virgin Islands ","36,460 ","17,759 ",N/A,"17,759 ",2023,10,2022,4,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ","1,833,339 ","646,375 ","646,375 ","0 ",2023,10,2022,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ","2,106,537 ","797,135 ","780,126 ","17,009 ",2023,10,2022,4,
"West Virginia ","636,430 ","230,050 ","230,050 ","0 ",2023,10,2022,4,
"Wisconsin ","1,500,034 ",N/A,N/A,N/A,2023,10,2022,4,
"Wyoming ","78,866 ",N/A,N/A,N/A,2023,10,2022,4,
Totals,"104,075,749 ","33,144,607 ","28,628,685 ","4,515,922 ",2023,10,2022,4,
"Alabama ","1,272,427 ",N/A,N/A,N/A,2023,10,2022,5,
"Alaska ","252,965 ","71,149 ","71,147 ","2 ",2023,10,2022,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ","31,434 ",N/A,N/A,N/A,2023,10,2022,5,
"Arizona ","2,342,667 ","680,297 ","190,696 ","489,601 ",2023,10,2022,5,
"Arkansas ","1,032,100 ","341,539 ","330,799 ","10,740 ",2023,10,2022,5,
"California ","14,484,866 ","4,797,754 ","4,767,778 ","29,976 ",2023,10,2022,5,
"Colorado ","1,617,196 ","593,868 ","582,980 ","10,888 ",2023,10,2022,5,
"Connecticut ","1,122,495 ","356,650 ","326,538 ","30,112 ",2023,10,2022,5,
"Delaware ","276,559 ","90,358 ","14,117 ","76,241 ",2023,10,2022,5,
"Dist. Of Col. ","283,131 ","131,084 ","86,455 ","44,629 ",2023,10,2022,5,
"Florida ","5,216,698 ",N/A,N/A,N/A,2023,10,2022,5,
"Georgia ","2,486,243 ",N/A,N/A,N/A,2023,10,2022,5,
"Guam ","39,550 ","5,035 ",N/A,"5,035 ",2023,10,2022,5,
"Hawaii ","449,696 ","177,989 ","30,692 ","147,297 ",2023,10,2022,5,
"Idaho ","445,324 ","128,071 ","128,071 ","0 ",2023,10,2022,5,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Illinois ","3,299,577 ","955,295 ","856,462 ","98,833 ",2023,10,2022,5,
"Indiana ","1,973,242 ","559,531 ","559,531 ","0 ",2023,10,2022,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
"Iowa ","760,685 ","249,192 ","192,798 ","56,394 ",2023,10,2022,5,
"Kansas ","448,700 ",N/A,N/A,N/A,2023,10,2022,5,
"Kentucky ","1,523,260 ","609,535 ","609,535 ","0 ",2023,10,2022,5,
"Louisiana ","1,972,246 ","736,698 ","736,698 ","0 ",2023,10,2022,5,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
"Maine ","377,849 ","101,431 ","80,324 ","21,107 ",2023,10,2022,5,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Maryland ","1,534,881 ","440,512 ","440,512 ","0 ",2023,10,2022,5,
"Massachusetts ","2,078,008 ","465,120 ","0 ","465,120 ",2023,10,2022,5,
"Michigan ","2,960,800 ","1,002,813 ","938,422 ","64,391 ",2023,10,2022,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"Minnesota ","1,327,315 ","289,503 ","289,503 ","0 ",2023,10,2022,5,
"Mississippi ","810,787 ",N/A,N/A,N/A,2023,10,2022,5,
"Missouri ","1,261,554 ","181,532 ","181,532 ","0 ",2023,10,2022,5,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
"Montana ","296,732 ","116,163 ","116,163 ","0 ",2023,10,2022,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"N. Mariana Islands ","19,607 ",N/A,N/A,N/A,2023,10,2022,5,
"Nebraska ","369,068 ","68,933 ","67,484 ","1,449 ",2023,10,2022,5,
"Nevada ","805,532 ","347,537 ","347,537 ","0 ",2023,10,2022,5,
"New Hampshire ","230,860 ","89,325 ","88,859 ","466 ",2023,10,2022,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Jersey ","2,012,852 ","737,761 ","737,761 ","0 ",2023,10,2022,5,
"New Mexico ","973,773 ","295,168 ","295,168 ","0 ",2023,10,2022,5,
"New York ","7,464,332 ","2,481,337 ","427,970 ","2,053,367 ",2023,10,2022,5,
"North Carolina ","2,763,316 ",N/A,N/A,N/A,2023,10,2022,5,
"North Dakota ","124,550 ","33,197 ","31,555 ","1,642 ",2023,10,2022,5,
"Ohio ","3,459,132 ","839,537 ","839,310 ","227 ",2023,10,2022,5,
"Oklahoma ","1,143,285 ","296,093 ","296,093 ","0 ",2023,10,2022,5,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
"Oregon ","1,248,992 ","688,192 ","588,008 ","100,184 ",2023,10,2022,5,
"Pennsylvania ","3,511,164 ","1,116,342 ","1,054,694 ","61,648 ",2023,10,2022,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
