State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
Hawaii,307367,110151,19690,90461,2021,1,2020,2,
Maine,289016,51632,39367,12265,2021,1,2020,3,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1710888,342394,0,342394,2021,1,2020,1,
Virginia,1346849,372098,372098,0,2021,1,2020,1,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"New Jersey",1589121,527959,527959,0,2021,1,2020,3,
"New York",6059971,1856298,308174,1548124,2021,1,2020,2,
Delaware,213312,62743,9702,53041,2021,1,2020,2,
Oregon,978729,478093,392861,85232,2021,1,2020,2,
"Puerto Rico",1155487,401358,,401358,2021,1,2020,1,
"Dist. Of Col.",253594,102354,63450,38904,2021,1,2020,3,
"West Virginia",516523,161759,161759,0,2021,1,2020,3,
Wyoming,54269,,,,2021,1,2020,1,
Missouri,832892,,,,2021,1,2020,1,
Washington,1724834,554982,540499,14483,2021,1,2020,2,
Florida,3779728,,,,2021,1,2020,1,
Louisiana,1618926,479107,479107,0,2021,1,2020,2,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Oklahoma,634873,,,,2021,1,2020,2,
Hawaii,309968,112076,19986,92090,2021,1,2020,3,
Illinois,2650586,686576,578685,107891,2021,1,2020,1,
Pennsylvania,2837782,769508,731135,38373,2021,1,2020,3,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Louisiana,1631986,492750,492750,0,2021,1,2020,1,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1353191,323012,323012,0,2021,1,2020,2,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Idaho,336747,58566,58566,0,2021,1,2020,1,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Utah,300013,47999,47259,740,2021,1,2020,2,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
"Amer. Samoa",35002,,,,2021,1,2020,3,
Washington,1730774,556947,542599,14348,2021,1,2020,1,
"New Hampshire",183234,54902,54623,279,2021,1,2020,3,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Mexico",831724,264036,264036,0,2021,1,2020,3,
"New Mexico",834667,265364,265364,0,2021,1,2020,1,
"South Dakota",102861,,,,2021,1,2020,3,
Texas,4155511,,,,2021,1,2020,1,
Connecticut,954970,268784,243847,24937,2021,1,2020,2,
Iowa,602417,176903,161639,15264,2021,1,2020,3,
"New York",6068726,1857240,307483,1549757,2021,1,2020,1,
Maryland,1258254,314955,314955,0,2021,1,2020,3,
"South Carolina",1256038,,,,2021,1,2020,3,
"Amer. Samoa",35002,,,,2021,1,2020,2,
Arkansas,836699,260901,260040,861,2021,1,2020,1,
Missouri,846577,,,,2021,1,2020,3,
Idaho,342379,61613,61613,0,2021,1,2020,2,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Guam,33607,3843,,3843,2021,1,2020,3,
Wisconsin,1186989,,,,2021,1,2020,3,
Nebraska,238589,,,,2021,1,2020,1,
Vermont,165180,55609,0,55609,2021,1,2020,3,
"South Dakota",102784,,,,2021,1,2020,1,
Totals,74443888,15542456,12300921,3241535,2021,1,2020,2,
Michigan,2404312,684039,636337,47702,2021,1,2020,2,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Kentucky,1258173,439965,439965,0,2021,1,2020,2,
Connecticut,952488,267129,242080,25049,2021,1,2020,3,
Oklahoma,657059,,,,2021,1,2020,3,
Pennsylvania,2829830,764255,726206,38049,2021,1,2020,2,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Tennessee,1590345,,,,2021,1,2020,2,
Mississippi,671581,,,,2021,1,2020,1,
"New Mexico",833939,265559,265559,0,2021,1,2020,2,
"Dist. Of Col.",251641,101445,63104,38341,2021,1,2020,2,
Pennsylvania,2831946,764171,726439,37732,2021,1,2020,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1357183,381927,381927,0,2021,1,2020,2,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Indiana,1353191,317012,317012,0,2021,1,2020,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Maine,283861,49123,36955,12168,2021,1,2020,1,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Arizona,1877209,437132,105444,331688,2021,1,2020,3,
Massachusetts,1693087,330481,0,330481,2021,1,2020,2,
"West Virginia",518475,162449,162449,0,2021,1,2020,1,
"New York",6069271,1868886,311048,1557838,2021,1,2020,3,
Utah,299318,46325,45582,743,2021,1,2020,1,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Wyoming,54069,,,,2021,1,2020,2,
"Dist. Of Col.",262654,108206,66942,41264,2021,1,2020,1,
Nevada,582645,209687,209687,0,2021,1,2020,1,
Utah,302259,50240,49544,696,2021,1,2020,3,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Colorado,1198307,374920,367514,7406,2021,1,2020,2,
Kansas,355805,,,,2021,1,2020,3,
"North Carolina",2158750,,,,2021,1,2020,1,
Ohio,2756472,578807,578516,291,2021,1,2020,2,
"Virgin Islands",31079,14552,,14552,2021,1,2020,3,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Florida,3757042,,,,2021,1,2020,2,
Indiana,1359758,336812,336812,0,2021,1,2020,3,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Hawaii,308541,110602,19928,90674,2021,1,2020,1,
Nevada,583234,210538,210538,0,2021,1,2020,3,
Oregon,979207,478133,392876,85257,2021,1,2020,1,
Georgia,2025819,,,,2021,1,2020,3,
Illinois,2638924,684331,577335,106996,2021,1,2020,2,
"N. Mariana Islands",15970,,,,2021,1,2020,1,
"Rhode Island",288154,64223,64223,0,2021,1,2020,3,
"Puerto Rico",1153937,401981,,401981,2021,1,2020,2,
Nebraska,239083,,,,2021,1,2020,2,
Texas,4147182,,,,2021,1,2020,2,
Oregon,979915,480418,395374,85044,2021,1,2020,3,
Mississippi,670300,,,,2021,1,2020,3,
"South Carolina",1270303,,,,2021,1,2020,1,
Wyoming,54765,,,,2021,1,2020,3,
Alabama,1052527,,,,2021,1,2020,1,
Minnesota,1067491,189830,189161,669,2021,1,2020,1,
Massachusetts,1707448,341139,0,341139,2021,1,2020,3,
Delaware,213664,62896,9558,53338,2021,1,2020,3,
Kansas,355796,,,,2021,1,2020,2,
California,12369407,3666116,3643990,22126,2021,1,2020,1,
Alaska,215116,55192,55185,7,2021,1,2020,2,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Minnesota,1057545,187800,187030,770,2021,1,2020,2,
"North Dakota",90795,20746,19748,998,2021,1,2020,1,
"North Carolina",2149751,,,,2021,1,2020,3,
Wisconsin,1184182,,,,2021,1,2020,1,
"New Hampshire",182959,54291,54018,273,2021,1,2020,1,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Nebraska,238922,,,,2021,1,2020,3,
Virginia,1363807,386989,386989,0,2021,1,2020,3,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kentucky,1275868,447391,447391,0,2021,1,2020,3,
"Virgin Islands",30971,14481,,14481,2021,1,2020,2,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Arkansas,829713,258175,257349,826,2021,1,2020,3,
Guam,34489,4001,,4001,2021,1,2020,1,
Maryland,1248618,311202,311202,0,2021,1,2020,1,
Maryland,1252460,311874,311874,0,2021,1,2020,2,
"North Dakota",90038,20396,19410,986,2021,1,2020,2,
Iowa,600548,175823,159864,15959,2021,1,2020,1,
Texas,4158007,,,,2021,1,2020,3,
Illinois,2644815,684423,578327,106096,2021,1,2020,3,
Vermont,163696,53963,0,53963,2021,1,2020,1,
Georgia,2038164,,,,2021,1,2020,2,
California,12251774,3622935,3599792,23143,2021,1,2020,2,
"New Jersey",1593553,528565,528565,0,2021,1,2020,2,
Wisconsin,1185037,,,,2021,1,2020,2,
Delaware,212535,62429,9662,52767,2021,1,2020,1,
Mississippi,671258,,,,2021,1,2020,2,
"Rhode Island",286177,63214,63214,0,2021,1,2020,2,
Guam,34363,4464,,4464,2021,5,2020,5,
"Amer. Samoa",35002,,,,2021,5,2020,4,
Michigan,2465001,708445,660034,48411,2021,5,2020,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"South Carolina",1288568,,,,2021,5,2020,5,
Alabama,1082699,,,,2021,5,2020,6,
Nevada,627716,227050,227050,0,2021,5,2020,5,
Totals,76114580,16122919,12761433,3361486,2021,5,2020,4,
Alaska,219037,56934,56931,3,2021,5,2020,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"California *",12496095,3763540,3737423,26117,2021,5,2020,6,"Awaiting state reporting/enrollment reasonableness review in progress."
Colorado,1224701,387995,380126,7869,2021,5,2020,4,
Florida,4109278,,,,2021,5,2020,6,
Totals,78055480,16755755,13275696,3480059,2021,5,2020,6,
Montana,240538,88868,88868,0,2021,5,2020,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oklahoma,677003,,,,2021,5,2020,4,
"Puerto Rico",1174184,418358,,418358,2021,5,2020,6,
Michigan,2534597,751687,704359,47328,2021,5,2020,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"North Dakota",94761,21528,20429,1099,2021,5,2020,6,
Minnesota,1098085,203617,202953,664,2021,5,2020,6,
Washington,1795931,599716,584238,15478,2021,5,2020,6,
Idaho,366300,73231,73231,0,2021,5,2020,6,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
"West Virginia",529406,166625,166625,0,2021,5,2020,5,
Georgia,2028836,,,,2021,5,2020,4,
"Rhode Island",296178,69348,69348,0,2021,5,2020,4,
Louisiana,1698669,527673,527673,0,2021,5,2020,6,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Tennessee,1599722,,,,2021,5,2020,6,
"North Carolina",2211323,,,,2021,5,2020,5,
Ohio,2865708,566910,566594,316,2021,5,2020,4,
Alabama,1073085,,,,2021,5,2020,5,
Maine,301721,56856,44746,12110,2021,5,2020,5,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"N. Mariana Islands",16241,,,,2021,5,2020,6,
"Virgin Islands",31298,14717,,14717,2021,5,2020,4,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Vermont,171014,58872,0,58872,2021,5,2020,5,
Connecticut,971365,276562,250855,25707,2021,5,2020,4,
Missouri,903605,,,,2021,5,2020,5,
"New Jersey",1624308,546796,546796,0,2021,5,2020,4,
Arkansas,858323,271421,270530,891,2021,5,2020,5,
Kansas,360497,,,,2021,5,2020,4,
"New Hampshire",191327,58376,58081,295,2021,5,2020,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Kentucky,1334076,479906,479906,0,2021,5,2020,4,
Alaska,221897,58593,58589,4,2021,5,2020,6,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Iowa,621957,185815,166008,19807,2021,5,2020,5,
Colorado,1282749,418599,410636,7963,2021,5,2020,6,
Arizona,1944923,464212,113446,350766,2021,5,2020,5,
Arizona,1916119,447308,107000,340308,2021,5,2020,4,
Montana,242849,90166,90166,0,2021,5,2020,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Dakota",105926,,,,2021,5,2020,5,
Montana,245643,91425,91425,0,2021,5,2020,6,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2906252,562256,561960,296,2021,5,2020,6,
Tennessee,1576964,,,,2021,5,2020,4,
Hawaii,323268,119145,19966,99179,2021,5,2020,5,
Maine,306263,58734,46478,12256,2021,5,2020,6,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1707432,347887,0,347887,2021,5,2020,4,
"Virginia *",1381055,396623,396623,0,2021,5,2020,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019. Awaiting state reporting/enrollment reasonableness review in progress."
"New Jersey",1664309,570088,570088,0,2021,5,2020,6,
"New York",6273086,1989325,337387,1651938,2021,5,2020,5,
Delaware,220485,65370,9719,55651,2021,5,2020,5,
Oregon,1023014,508962,418704,90258,2021,5,2020,5,
"Puerto Rico",1151185,403839,,403839,2021,5,2020,4,
"Dist. Of Col.",262069,107562,67112,40450,2021,5,2020,6,
"West Virginia",535649,170755,170755,0,2021,5,2020,6,
Wyoming,57280,,,,2021,5,2020,4,
Missouri,884673,,,,2021,5,2020,4,
Washington,1775512,585985,570703,15282,2021,5,2020,5,
Florida,3943838,,,,2021,5,2020,4,
Louisiana,1680231,519378,519378,0,2021,5,2020,5,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Oklahoma,687032,,,,2021,5,2020,5,
Hawaii,322872,119311,20005,99306,2021,5,2020,6,
Illinois,2713248,712712,606814,105898,2021,5,2020,4,
Pennsylvania,2970037,843748,800276,43472,2021,5,2020,6,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Louisiana,1660978,510425,510425,0,2021,5,2020,4,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1453120,370983,370983,0,2021,5,2020,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Idaho,358616,69012,69012,0,2021,5,2020,4,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Utah,325271,57731,57147,584,2021,5,2020,5,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
"Amer. Samoa",35002,,,,2021,5,2020,6,
Washington,1757505,575051,560136,14915,2021,5,2020,4,
"New Hampshire",193532,59562,59263,299,2021,5,2020,6,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Mexico",862131,274430,274430,0,2021,5,2020,6,
"New Mexico",846818,270756,270756,0,2021,5,2020,4,
"South Dakota",107674,,,,2021,5,2020,6,
Texas,4283983,,,,2021,5,2020,4,
Connecticut,979151,280041,254233,25808,2021,5,2020,5,
Iowa,631614,189005,166558,22447,2021,5,2020,6,
"New York",6179273,1936491,325209,1611282,2021,5,2020,4,
Maryland,1300946,334228,334228,0,2021,5,2020,6,
"South Carolina",1300405,,,,2021,5,2020,6,
"Amer. Samoa",35002,,,,2021,5,2020,5,
Arkansas,839997,263586,262732,854,2021,5,2020,4,
Missouri,920287,,,,2021,5,2020,6,
Idaho,361917,70488,70488,0,2021,5,2020,5,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Guam,33256,4416,,4416,2021,5,2020,6,
Wisconsin,1267446,,,,2021,5,2020,6,
Nebraska,241710,0,0,0,2021,5,2020,4,
Vermont,172951,60071,0,60071,2021,5,2020,6,
"N. Mariana Islands",15702,,,,2021,5,2020,5,
"South Dakota",104300,,,,2021,5,2020,4,
Totals,77169947,16440132,13010273,3429859,2021,5,2020,5,
Michigan,2506063,721420,672485,48935,2021,5,2020,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Kentucky,1370771,498105,498105,0,2021,5,2020,5,
Connecticut,984812,282690,257036,25654,2021,5,2020,6,
Oklahoma,726619,,,,2021,5,2020,6,
Pennsylvania,2932848,819596,777610,41986,2021,5,2020,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Tennessee,1588211,,,,2021,5,2020,5,
Mississippi,667610,,,,2021,5,2020,4,
"New Mexico",856649,273414,273414,0,2021,5,2020,5,
"Dist. Of Col.",259796,106136,66064,40072,2021,5,2020,5,
Pennsylvania,2886869,797227,757130,40097,2021,5,2020,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Virginia *",1430388,416491,416491,0,2021,5,2020,5,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019. Awaiting state reporting/enrollment reasonableness review in progress."
Indiana,1428654,359030,359030,0,2021,5,2020,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Maine,296032,54534,42392,12142,2021,5,2020,4,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Arizona,1977681,479095,125699,353396,2021,5,2020,6,
Massachusetts,1700706,345470,0,345470,2021,5,2020,5,
"West Virginia",523766,165063,165063,0,2021,5,2020,4,
"New York",6358951,2031049,346732,1684317,2021,5,2020,6,
Utah,316033,54480,53940,540,2021,5,2020,4,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Wyoming,58110,,,,2021,5,2020,5,
"Dist. Of Col.",257688,104682,64959,39723,2021,5,2020,4,
Nevada,608671,221113,221113,0,2021,5,2020,4,
Utah,335820,61155,60550,605,2021,5,2020,6,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Colorado,1259631,405396,397349,8047,2021,5,2020,5,
Kansas,369807,,,,2021,5,2020,6,
"North Carolina",2192197,,,,2021,5,2020,4,
Ohio,2891194,566246,565948,298,2021,5,2020,5,
"Virgin Islands",31682,15024,,15024,2021,5,2020,6,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Florida,4044252,,,,2021,5,2020,5,
Indiana,1475181,381111,381111,0,2021,5,2020,6,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Hawaii,318070,116329,19271,97058,2021,5,2020,4,
Nevada,644373,235160,235160,0,2021,5,2020,6,
Oregon,1008483,500627,411822,88805,2021,5,2020,4,
Georgia,2076053,,,,2021,5,2020,6,
Illinois,2739445,731491,625798,105693,2021,5,2020,5,
"N. Mariana Islands",15915,,,,2021,5,2020,4,
"Rhode Island",302210,72301,72301,0,2021,5,2020,6,
"Puerto Rico",1162631,411341,,411341,2021,5,2020,5,
Nebraska,245102,0,0,0,2021,5,2020,5,
Texas,4371891,,,,2021,5,2020,5,
Oregon,1033756,519499,428918,90581,2021,5,2020,6,
Mississippi,697178,,,,2021,5,2020,6,
"South Carolina",1277974,,,,2021,5,2020,4,
Wyoming,59487,,,,2021,5,2020,6,
Alabama,1063729,,,,2021,5,2020,4,
Minnesota,1086222,197841,197333,508,2021,5,2020,4,
Massachusetts,1707937,347371,0,347371,2021,5,2020,6,
Delaware,224059,66483,9816,56667,2021,5,2020,6,
Kansas,364759,,,,2021,5,2020,5,
"California *",12380947,3713452,3688474,24978,2021,5,2020,4,"Awaiting state reporting/enrollment reasonableness review in progress."
Alaska,220423,57233,57229,4,2021,5,2020,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Minnesota,1093609,201098,200594,504,2021,5,2020,5,
"North Dakota",94573,21528,20429,1099,2021,5,2020,4,
"North Carolina",2236255,,,,2021,5,2020,6,
Wisconsin,1222819,,,,2021,5,2020,4,
"New Hampshire",187275,56570,56289,281,2021,5,2020,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Nebraska,248273,0,0,0,2021,5,2020,6,
"Virginia *",1457772,426100,426100,0,2021,5,2020,6,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019. Awaiting state reporting/enrollment reasonableness review in progress."
Kentucky,1417316,534881,534881,0,2021,5,2020,6,
"Virgin Islands",31485,14874,,14874,2021,5,2020,5,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Arkansas,869325,277058,276167,891,2021,5,2020,6,
Guam,34496,4229,,4229,2021,5,2020,4,
Maryland,1268661,321879,321879,0,2021,5,2020,4,
Maryland,1287748,328994,328994,0,2021,5,2020,5,
"North Dakota",94031,21497,20411,1086,2021,5,2020,5,
Iowa,613206,182293,164500,17793,2021,5,2020,4,
Texas,4449590,,,,2021,5,2020,6,
"California *",12468493,3740386,3714742,25644,2021,5,2020,5,"Awaiting state reporting/enrollment reasonableness review in progress."
"New Jersey",1641394,558797,558797,0,2021,5,2020,5,
Wisconsin,1246555,,,,2021,5,2020,5,
Delaware,216877,64052,9644,54408,2021,5,2020,4,
Mississippi,689298,,,,2021,5,2020,5,
"Rhode Island",298987,70882,70882,0,2021,5,2020,5,
Guam,33348,4417,,4417,2021,5,2020,8,
Michigan,2568093,768019,720329,47690,2021,5,2020,7,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"South Carolina",1324312,,,,2021,5,2020,8,
Alabama,1113166,,,,2021,5,2020,9,
Nevada,670975,249514,249514,0,2021,5,2020,8,
Totals,79309251,17166056,13619087,3546969,2021,5,2020,7,
Alaska,222723,59969,59969,0,2021,5,2020,7,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"California *",12892566,3954890,3927007,27883,2021,5,2020,9,"Awaiting state reporting/enrollment reasonableness review in progress."
Colorado,1303164,431837,423297,8540,2021,5,2020,7,
Florida,4252055,,,,2021,5,2020,9,
Totals,80938780,17740750,14091948,3648802,2021,5,2020,9,
Montana,248356,92652,92652,0,2021,5,2020,7,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Oklahoma,737924,,,,2021,5,2020,7,
"Puerto Rico",1199697,430204,,430204,2021,5,2020,9,
Michigan,2631613,803612,754595,49017,2021,5,2020,9,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
"North Dakota",103274,22593,21391,1202,2021,5,2020,9,
Minnesota,1139158,216433,215719,714,2021,5,2020,9,
Washington,1932791,637571,622033,15538,2021,5,2020,9,
Idaho,382293,81928,81928,0,2021,5,2020,9,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
"West Virginia",549449,178252,178252,0,2021,5,2020,8,
Georgia,2101870,,,,2021,5,2020,7,
"Rhode Island",305128,73961,73961,0,2021,5,2020,7,
Louisiana,1760034,561862,561862,0,2021,5,2020,9,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Tennessee,1644183,,,,2021,5,2020,9,
"North Carolina",2290598,,,,2021,5,2020,8,
Ohio,2926487,561696,561404,292,2021,5,2020,7,
Alabama,1103184,,,,2021,5,2020,8,
Maine,314750,63225,49989,13236,2021,5,2020,8,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"N. Mariana Islands",16215,,,,2021,5,2020,9,
"Virgin Islands",31882,15207,,15207,2021,5,2020,7,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Vermont,176679,62458,0,62458,2021,5,2020,8,
Connecticut,990928,286877,260446,26431,2021,5,2020,7,
Missouri,955423,,,,2021,5,2020,8,
"New Jersey",1687587,580807,580807,0,2021,5,2020,7,
Arkansas,882897,285660,284747,913,2021,5,2020,8,
Kansas,374777,,,,2021,5,2020,7,
"New Hampshire",198346,62396,62064,332,2021,5,2020,8,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Kentucky,1458133,566795,566795,0,2021,5,2020,7,
"Amer. Samoa",35002,,,,2021,5,2020,7,
Alaska,225188,61728,61727,1,2021,5,2020,9,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Iowa,649588,194570,167348,27222,2021,5,2020,8,
Colorado,1346548,452156,443744,8412,2021,5,2020,9,
Arizona,2021527,503099,137820,365279,2021,5,2020,8,
Arizona,1998408,490625,131048,359577,2021,5,2020,7,
Montana,251680,94155,94155,0,2021,5,2020,8,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Dakota",110617,,,,2021,5,2020,8,
Montana,254160,95315,95315,0,2021,5,2020,9,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2957976,558312,558031,281,2021,5,2020,9,
Tennessee,1621399,,,,2021,5,2020,7,
Hawaii,343633,130662,22453,108209,2021,5,2020,8,
